,Conteo de patrocinadores,Descripción,Objetivo,Nombre del proyecto,Estatus,Ubicación (por estado),Recaudado,Creador(a),Categoría
0,2919,A Heartfelt Metroidvania Experience,380000,9 Years of Shadows,Exitoso,Jalisco,1988905,HALBERD STUDIOS,Juegos
1,1990,The Kinetic Sculpture That Draws Infinite Patterns On Sand.,100000,SANDSARA,Exitoso,Nuevo Leon,18574946,Ed Cano,Diseño
2,1806,A limited edition deck of playing cards that celebrates life and death in the Mexican culture,280000,El Reino de Los Muertos - Expert Edition / Mexico Creates,Exitoso,Distrito Federal,1322488,Sextante studio,Juegos
3,1339,"Come and check out our innovative, simple and practical luggage organizer. Hasta la vista, messy clothes!",150000,"Hang and Roll ""Organize your backpack like never before""",Exitoso,Baja California,1039589,Hang & Roll,Artesanía
4,1132,"2020 not only takes us back into the studio for production of our 3rd album, but we embark on our first North American Tour March/April",570000,The Warning - New Album and 23 date NorthAmerican Tour,Exitoso,Nuevo Leon,3337199,The Warning,Música
5,1075,Bring your Tabletop sessions to life. Immersive auditive experiences for Dungeon Masters and Players at your fingertips.,369000,RPG Sounds,Exitoso,Baja California,1338164,Cast n Play,Juegos
6,974,3D Printable Models / RPG / Wargaming / Collectibles,2000,Bestiary Vol #2 - 3D Printable Models,Exitoso,Coahuila de Zaragoza,1176954,Brayan Nafarrate,Juegos
7,893,"Colección más reciente de los cómics hechos por Alejandra Gámez para ""The mountain with teeth"".\r
Comics strips and little weird stories",100000,The mountain with teeth: Historias de piedra,Exitoso,Distrito Federal,474570,Alejandra Elena Gámez,Cómic
8,736,Se necesitan aventureros valientes para encontrar el Mítico 5to tomo de Jours de Papier. We need brave warriors to find JDP's 5th book.,145000,La búsqueda del legendario tomo 5 - comic by Jours de Papier,Exitoso,Distrito Federal,548622,Jours de Papier,Cómic
9,733,"Dany, Pau and Ale are ready to go to the studio and record The Warning's brand new album",400000,The Warning's 2nd Studio Album,Exitoso,Baja California,1768119,The Warning,Música
10,677,Playing Cards created to help support the axolotl conservation efforts in México by spreading knowledge about this amazing creature.,300000,Axolotl Playing Cards,Exitoso,Distrito Federal,387549,Sextante studio,Juegos
11,607,3D Printable Files / RPG / Wargaming / Collectibles,10000,Cthulhu: Lovecraftian Bestiary - 3D Printable Models,Exitoso,Coahuila de Zaragoza,731324,Brayan Nafarrate,Juegos
12,461,"We accompanied an 8 months pregnant Yuri, who migrates with her partner Mike and her son Santi with one objective, to give birth in EUA",665000,Éxodo: Documental de la caravana migrante centroaméricana,Exitoso,Distrito Federal,671184,Cabal Films & Chicken Bus,Cine y video
13,409,What would happen if the most iconic effects and mechanics were merged in a single game?,75000,Card Game: The Card Game. A game about cards!,Exitoso,Yucatan,172963,Gnomosapiens,Juegos
14,374,"A competitive game, with action points, combat, search, strategy and some luck, can you perform the final conjuring?",2000,Survive a Nightmare,Exitoso,Aguascalientes,22739,Damian Jimenez,Juegos
15,369,"Explore a decaying futuristic city in search of items, superpowers and companions to free all the turfs and unite their people again!.",150000,Neon City Riders: A Cyberpunk Turf Wars Action Adventure,Exitoso,Veracruz-Llave,225740,Mecha Studios,Juegos
16,369,"Adventure/fighting game inspired by the ""punch-out"" series, taking place in the building of a corrupt corporation.",200000,Pato Box - A full action duck fighting experience,Exitoso,Puebla,210700,Bromio,Juegos
17,320,"VS Reyring Comic Lucha libre, comedia, golpes y mucha calentura!\r
VS.Reyring is a wrestling comic full of action and sensuality",60000,VS. REYRING (lucha libre gay comic/bara/yaoi /furry ),Exitoso,Distrito Federal,278802,Dai Leon,Cómic
18,313,"Operating from Mexico City, we are a free, bilingual, quarterly digital & print publication about contemporary art in the Americas.",400000,"Terremoto, a unique Pan-American art magazine",Exitoso,Distrito Federal,441683,"Dorothée, Antonella, Diego and Ana",Editorial
19,304,"Cortometraje animado basado en el libro infantil ""Mi Hermano Luca"". Busca crear conciencia sobre el autismo a través de un cuento.",250000,Mi Hermano Luca (cortometraje acerca del autismo),Exitoso,Baja California,369518,Catalina Serna,Cine y video
20,301,"Yuri on Ice!! Fanbook, 100% latino y en español, con más de 50 participantes.",43000,Gold Medal - Yuri on Ice!! fanbook,Exitoso,Chihuahua,116835,Studio XIII,Cómic
21,286,"A festival with a new proposal for the music scene in Mexico, for an audience that doesn't complicate itself with labels.",250000,DIVERSA FESTIVAL Música+Inclusión+Unión,Exitoso,Distrito Federal,261485,Claudio Castellanos,Música
22,285,"Serie animada de cuentos indígenas narrados en su lengua originaria creados bajo la premisa ""Nadie puede amar lo que no conoce""",400000,68 Voces-68 Corazones / 68 Voices-68 Hearts,Exitoso,Distrito Federal,451511,68 Voces,Cine y video
23,250,Descubre en este libro quiénes son algunos de los artistas urbanos más talentosos de México / Discover this street art book from Mexico,260000,Muros somos - el libro sobre artistas urbanos de México,Exitoso,Distrito Federal,277080,Cynthia Arvide,Editorial
24,245,Un Cortometraje dirigido por /a short film by: Jennifer Skarbnik López,490000,“HASTA PRONTO / SEE YOU SOON / DO ZOBACZENIA WKRÓTCE”,Exitoso,Baja California,496563,Jennifer Skarbnik López,Cine y video
25,241,"Celebramos nuestro décimo aniversario con un arte-objeto mapeando el diseño, moda, arquitectura y gastronomía en México.",450000,Coolhuntermx | Primer impreso,Exitoso,Baja California,485333,Coolhuntermx,Editorial
26,238,"Cubrebocas reutilizables para protegerse contra el COVID 19.  Hechos en telar de cintura, apoyamos a las mujeres de nuestra comunidad.",100000,"""CON MAKA MÉXICO NOS CUIDAMOS TODOS""",Exitoso,Mexico,225642,Daniela Ustaran,Artesanía
27,234,"A new concept, a new deck. 45s Playing Cards.\r
Hold it, you might like it.",300000,45s Playing Cards by ManoSanta,Exitoso,Baja California,321268,Cesar Mosqueda,Juegos
28,230,El lugar del mítico monstruo de agua mexicano / The place of the mythical mexican water monster,190000,AXOLOTITLÁN Museo del Ajolote / Mexico Creates,Exitoso,Distrito Federal,202030,AXOLOTITLÁN,Arte
29,222,Tikea is a book by Dr Alderete that brings together in its pages the mystery of one of the most wonderful cultures of the South Pacific,250000,Tike'a // A Book by Dr. Alderete,Exitoso,Distrito Federal,316970,Dr. Alderete,Editorial
30,217,"2a temporada de la serie web LGBT, que muestra las aventuras amoroso-sexuales de Aarón en la Ciudad de México.",300000,"CON LUGAR, TEMPORADA 2",Exitoso,Baja California,312472,Omar Flores Sarabia,Cine y video
31,217,Be part of the new Sotomayor's record and its release in vinyl,160000,Nuevo disco de Sotomayor,Exitoso,Distrito Federal,168050,Sotomayor,Música
32,216,"Acompáñame a darle vida a mi primer EP, mezclando tintes de Folk, con notas de Blues, feeling de Soul y punch del Pop.",80000,Ingrid Löw: Moonlight EP,Exitoso,Distrito Federal,193500,Ingrid Löw,Música
33,214,Un libro de Mónica Mayer // A book by Mónica Mayer,265000,"Intimidades... o no. Arte, vida y feminismo.",Exitoso,Mexico,360895,Mónica Mayer,Editorial
34,214,Not all of us see life in the same color. A story that encourages us to break limits and view things from a different perspective.,200000,La Laguna Rosa,Exitoso,Yucatan,216120,Gitana Films,Cine y video
35,212,We give Mexican artisan women an opportunity to preserve their traditions as we take their work to new frontiers.,150000,MAKA MÉXICO // WITH ARTISAN SOUL,Exitoso,Distrito Federal,321020,Daniela Ustaran,Artesanía
36,202,Radio Nopal es una estación de radio colectiva por internet localizada en la Ciudad de México.,120000,Radio Nopal,Exitoso,Distrito Federal,126888,Radio Nopal,Editorial
37,196,Rise & Shine with Sunrise Cards,100000,Sunrise Playing Cards,Exitoso,Distrito Federal,204173,Fran CG,Juegos
38,195,Design and pitch your way to be a creative legend in this graphic design/advertising visual novel.,95000,Design Hero,Exitoso,Nuevo Leon,121255,Akinaba,Juegos
39,190,""" Atrapado en una pesadilla "" //
""despite having nothing in common, the guy will have to discover how to get robot help """,200000,DROPLENS Animated Shortfilm,Exitoso,Distrito Federal,234001,Ro Bot,Cine y video
40,187,Ayuda a GAMA Crea y a sus colaboradores a seguir gestionando proyectos artísticos en la Ciudad de México.,220000,"Hazlo Real, un proyecto de GAMA Crea.",En curso,Distrito Federal,149936,Gama Crea,Arte
41,187,"A sci-fi drama about Erik, a man who, devastated by the loss of his wife, tries to bring her back to life.",120000,WAKE UP,Exitoso,Distrito Federal,132200,Tefa Garmendia,Cine y video
42,181,¡Hemos grabado el nuevo disco y necesitamos de su apoyo para sacarlo a la luz! >> We recorded new music & need your help to release it!,160000,"“Imperfecto"" de Troker (NEW ALBUM RELEASE)",Exitoso,Baja California,170392,Troker,Música
43,176,Primer misterio del cómic mexicano que sigue las aventuras del detective Carlos Camarón.,75000,Carlos Camarón en los Aullidos del Horror,Exitoso,Baja California,84406,Mako Animation Studio,Cómic
44,173,"Película independiente sobre, familia, deseo y nostalgia. // \r
\r
Independent Feature Film about family, desire and nostalgia.",300000,El Deseo de Ana // Ana's Desire Film,Exitoso,Distrito Federal,378600,ANOMIA,Cine y video
45,171,"Hombre Diablo es un libro de arte inspirado en la obra de Devilman de Go Nagai, por fans para fans.",52000,HOMBRE DIABLO: Devilman fanbook,Exitoso,Chihuahua,59908,Studio XIII,Arte
46,168,"Hi! Thank you for checking my project out, it took me almost 8 years to write this story and now, it’s finally here!",82849,This is: The SHIT.,Exitoso,Baja California,87834,Yosam Cardenas,Cómic
47,167,"A dark story of loneliness, abuse, desire, encounter and hope.",375000,DULCE ALARIDO | Cortometraje,Exitoso,Distrito Federal,375600,Juan Carlos Lelo de Larrea,Cine y video
48,165,¡La recopilación definitiva de los mejores (¿o peores?) cartones del webcómic La Tuya en Vinagre!,70000,Lo Regular de lo Mediocre,Exitoso,Yucatan,114176,Sergio Neri,Cómic
49,163,Designing with love in our first kiln / Diseñamos la cerámica que te encanta y con tu apoyo tendremos nuestro propio horno.,99999,Arroz con leche mamá + Ceramics Studio,Exitoso,Queretaro de Arteaga,211136,Lina Fuensanta,Artesanía
50,163,Unleash the power of Asgard in a city full of mechas on this cyberpunk Nordic-oriented jump and shoot videogame.,120000,Tyr: Chains of Valhalla,Exitoso,Nuevo Leon,127150,Ennui Studio,Juegos
51,161,Documental que explora las raíces de la cultura Garífuna a través de la historia de dos jóvenes que viven realidades distintas,180000,"Garífuna - Dos mundos, un mismo latido",Exitoso,Quintana Roo,205408,Carlos Chablé,Cine y video
52,161,La Ópera Prima de nuestra compañía: Una comedia con actores/músicos en vivo basada en el mito de Orfeo y Eurídice.,110000,Falso Mutis: nuestra Ópera Prima,Exitoso,Distrito Federal,114380,Falso Mutis,Teatro
53,160,Help us get Terremoto's issues 15 and 16 go print!,200000,Terremoto Magazine: Issues 15 & 16,Exitoso,Distrito Federal,225398,Ana Jaramillo,Editorial
54,157,A unique Art Toy collection inspired on the most famous painters of art history. Hand painted by talented Mexican Artisans!,240000,FRIDIS: 3D Printed + Hand Painted Art Toys,Exitoso,Chiapas,244210,Toy Artisans,Arte
55,157,"Pinup Models for 3d Printing & Painting, Girls warriors and mythological Creatures. STL & OBJ Files(nsfw,wargames,boardgames,deco)",18596,Pinup Sexy Brutale Printable 3D Pretty Ladies.,Exitoso,Baja California,104938,Juan Lerma,Juegos
56,157,"Printed version of the Core Books of Witchcraft: Magic of Hereva, new Adventures, and phone PDFs. For the 5e Dungeons & Dragons.",10000,"Witchcraft: Magic of Hereva, Printed & More Adventures (5e)",Exitoso,Yucatan,70698,Xacur,Juegos
57,156,Mexico Creates: Teorema Taller de cerámica colaborativo necesita un Horno/ New Ceramics Studio need a kiln.,120000,Teorema Taller de Cerámica/ Ceramics Workshop,Exitoso,Nuevo Leon,124072,Teorema,Arte
58,155,Muertos is a book by muertosruz with 66 silent stories about death,66000,MUERTOS (66 silent stories about death) a book by muertosruz,Exitoso,Yucatan,159430,muertosruz,Editorial
59,150,Help us preserve a pre-Hispanic technique headed to extinction! Let's build the first tule-weaving artisanal workshop!,325000,txt.ure | New workshop to revive prehispanic woven furniture,Exitoso,Mexico,358646,txt.ure,Artesanía
60,149,Con tu aportación quiero grabar un disco de la mano de artistas que tocan en la calle. ¡Te invito a sumarte a esta aventura!,200000,Callejera - De la calle al Lunario,Exitoso,Distrito Federal,231818,Aynes,Música
61,149,This book will captivate the youngest and the eldest through Aurora´s story. Come and find out more about Smith Magenis Syndrome.,195000,Aurora de Noche The Book,Exitoso,Baja California,210300,Smith Magenis México,Editorial
62,149,"Beacon The Awakening is an emotional puzzle platformer game about a man and his need for answers, developed by a young mexican team.",100000,Beacon The Awakening,Exitoso,Baja California,108838,Sheldrybox Studios,Juegos
63,142,"Película independiente sobre Nestor, un joven de Saltillo que intenta encontrar su lugar en el mundo. Una historia sobre crecer.",200000,Días de Invierno - Película / Winter Days Film,Exitoso,Coahuila de Zaragoza,223898,Jaiziel Hernández Máynez,Cine y video
64,141,Un niño de padres divorciados y un dinosaurio imaginario que no lo deja convivir con su padre.,95000,Mijo tiene un dinosaurio (Mijo has a dinosaur),Exitoso,Baja California,113339,A. Salomón,Editorial
65,141,"El álbum está casi listo, ayúdanos a llevarlo a tus manos.",70000,Mondragón - Ayúdanos a terminar nuestro primer álbum,Exitoso,Distrito Federal,88116,Mondragón,Música
66,141,"Somos La Calandria, un grupo de son jarocho. ¡Necesitamos tu apoyo para grabar nuestro primer CD y así poder llegar hasta Bélgica!",77000,La Calandria y su disco rumbo a Bélgica,Exitoso,Veracruz-Llave,83185,La Calandria,Música
67,140,Un colectivo de amigos que actualmente producen sus cortometrajes de titulación universitarios.,120000,Zülar,Exitoso,Distrito Federal,122050,Paulina Aguado,Cine y video
68,138,Ayúdame a crecer mi marca y a cumplir mi sueño. Desarrollaré una nueva línea de productos de cerámica hechos en torno.,110000,Handmade ceramic pieces - Matope Cerámica,Exitoso,Distrito Federal,159104,Marina Villa Pardinas,Arte
69,138,"Campaña que pretende lograr la producción de un tiraje amplio del webcomic ""Ari y La Cafetería de los Horrores"".",25000,Ari y la Cafetería de los Horrores,Exitoso,Baja California,49210,Amilcar Blackburn,Cómic
70,137,"Maquila y serie de conciertos: ""Crónicas hechas canción"". 
Chronicles- new album",60000,Crónicas: nuevo disco de Amanda Tovalin,Exitoso,Distrito Federal,65298,Amanda Tovalin,Música
71,133,A huge threat is approaching the planet. Will there be someone capable of stopping it? IO - The first animated short film by Spaceboy.,150000,io - Inner Self,Exitoso,Distrito Federal,166366,Spaceboy,Cine y video
72,133,Libro para colorear hecho con los diseños de las artesanías de México. Coloring book made with the designs of Mexican handicrafts,85000,Artesanías para colorear / Mexican Handcrafts coloring book,Exitoso,Baja California,91390,Jorge Natera,Editorial
73,133,Compilado de cartones e historietas de ChangosPerros,40000,"""Existir es de nacos"" un libro de ChangosPerros",Exitoso,Yucatan,50405,Monos Sueltos,Cómic
74,131,"Un diccionario que guarda las palabras más mexicanas, es decir, medio picosas, medio albureras, medio jocosas.",180000,"El mero Ditzionario. A ratos ilustrado, a ratos no",Exitoso,Mexico,181428,Mexicanísimo/ Paralelo 21,Editorial
75,131,"Disco de canciones creadas por NIÑAS & NIÑOS. 
Con la participación de diversos músicos.",79000,MúSiCa creada por niÑas y NiñOs : tuty ti tu,Exitoso,Mexico,84842,MARIMBEL ROJO. Mariel Henry Rojo,Música
76,131,An artbook coloring book for adults.,50000,Ink Begets Color.,Exitoso,Distrito Federal,59818,Aretia Irn,Arte
77,130,A silent mini comic about how difficult the road to our dreams can be.,16700,On the Way to the End. / a MAKE 100 mini comic project!,Exitoso,Mexico,43088,Dacachi Fujino,Cómic
78,129,Comedia de lo absurdo donde una serie de personajes peculiares coinciden en una farmacia a buscar el sentido de la vida.,250000,*****...(Los Asteriscos...),Exitoso,Guanajuato,255611,Arturo Pons,Cine y video
79,129,Ayuda al Sr. Kik y a la Sra. Gig a publicar su segundo año de trabajo del webcómic Agathos Vay!!,75000,Agathos Vay: Land of Cats Año 2,Exitoso,Puebla,130038,Agathos Vay,Cómic
80,127,An educational VR prototype based on original and interactive 3D content for 3rd grade kids to improve their learning skills.,130000,VR4E: Immersive learning.,Exitoso,Yucatan,140796,"La Malinche, Estudio VR",Juegos
81,127,"Playing Cards designed to capture mystery with a minimalist touch, using bold strokes and a retro influence.",40000,Enigma Playing Cards by Enigmacards,Exitoso,Baja California,70736,Hector Roberto Perez Bejarano,Juegos
82,126,Stop Motion Animation,95000,A la Cabeza / Ahead,Exitoso,Baja California,111568,Andrea Santiago,Cine y video
83,125,A short film about a young man who is the chosen one to achieve world peace with just a Tweet.,60000,Salvando el mundo Rally GIFF,Exitoso,Baja California,119133,Salvando el mundo,Cine y video
84,125,"Far more than a toy, a tool for creative thinking and cultural understanding for all ages",90000,Brijes’ Stories: Unleash creativity and shape your own story,Exitoso,Baja California,91478,Puercomonte,Editorial
85,123,Un comic de ciencia ficción.,150000,The Top Comics Crowdfunding,Exitoso,Baja California,150266,Andres HR,Cómic
86,121,"Digitization of the Gurrola Archive (1957-1967), theater documents Digitalización del Archivo Gurrola documentos de su labor escénica",342460,Archivo Gurrola,Exitoso,Distrito Federal,369990,Edwarda Gurrola,Teatro
87,121,Six animated short films and video-installations about the feeling of uncanny,130000,Fantástico Encarnado: un viaje animado,Exitoso,Distrito Federal,140137,Andrea Robles,Cine y video
88,121,A poker deck that promises to show you how wonderful the Mayan culture is.,85000,MAYA PLAYING CARDS RELAUNCH,Exitoso,Puebla,106138,oleon art,Juegos
89,120,"Complete, all full colored, bunny themed, printed tarot with 78 bunny themed cards",17400,Bunny Tarot,Exitoso,Distrito Federal,91821,Mailoni Kat,Arte
90,119,Escape Rooms inspired in Wonderland and Resident Evil. Located in Mexico City but with international rewards too.,40000,Escape Masters: Wonderland & Residente Godinez,Exitoso,Distrito Federal,68763,Escape Masters,Juegos
91,117,"Libro infantil que celebra la Ciudad de México, su temple, sus ganas de volver a florecer y la determinación para lograr lo imposible.",250000,Mica quiere ser rescatista,Exitoso,Distrito Federal,256038,ateconqueso,Editorial
92,116,"Videoclip de la canción ""El Hombre del Río Nevado"" de la banda mexicana Ocean's Acoustic, que retratará la importancia de la familia.",75000,"Videoclip ""El Hombre del Río Nevado"" de Ocean's Acoustic",Exitoso,Distrito Federal,101450,Ocean's Acoustic,Cine y video
93,115,"Obra teatral, musical, que trata de los actos libertarios femeninos que son considerados por la sociedad como locura.",70000,POR TEMOR A QUE CANTEMOS LIBRES,Exitoso,Distrito Federal,73989,Lizeth Rondero,Teatro
94,115,"Revista de ilustración colaborativa hecha por mujeres, para mujeres.",35600,Siamo Creatrici,Exitoso,Jalisco,42548,Karla Dueñas,Cómic
95,114,Join us to finish postproduction on our first feature film!/ ¡Únete a nosotros para terminar la post de nuestro primer largometraje!,125000,Join us to finish Si tan solo pudiéramos dormir esta noche!,Exitoso,Distrito Federal,185000,Eduardo Buda Moreno Fernández,Cine y video
96,114,A strategic card game. Control one of three distinct countries and lead them to victory in the realm of Marlis.,150000,Chronicles of Marlis,Exitoso,Distrito Federal,158323,Ivan Mendez,Juegos
97,113,CUARTO PARALELO es un proyecto de cuatro cortometrajes que exploran los límites de la realidad.,45000,Cuarto Paralelo,Exitoso,Baja California,58830,Emileano Bt,Cine y video
98,112,Juguetes artesanales del folclor mexicano | Artisanal toys of mexican folklore,52000,Quetzalcolor | Art toys of mexican characters & legends,Exitoso,Puebla,93360,Yess Bertado Castell,Artesanía
99,108,Documental X Aniversario de la Orquesta Filarmónica de Toluca,197000,"De Nosotros, para la OFIT!",Exitoso,Chiapas,213860,Mexicanísima A.C.,Cine y video
100,108,Un documental sobre una asombrosa acción guerrillera en plena Guerra Sucia.,150000,"Oblatos, el vuelo que surcó la noche.",Exitoso,Baja California,160550,Acelo Ruiz Villanueva,Cine y video
101,108,"Hi! We are BUDAYA, a electronic music duo from Mexico, we want to finish our Album “Calma”, Help us make it a reality!",95000,"""Calma"" new album by Budaya.",Exitoso,Guanajuato,112659,BUDAYA,Música
102,108,Una producción del IMCINE en homenaje a los familiares de las víctimas de la desaparición forzada.,100000,Tierra,Exitoso,Nuevo Leon,101000,Marce Ayala,Cine y video
103,107,"Una antología y catálogo de creadores originales \r
del género YAOI/BL, que busca reunir a los \r
mejores exponentes y nuevas promesas.",100000,DOKKI: Yaoi/BL Creators 2017,Exitoso,Baja California,111350,Kreators & Readers UNITED,Cómic
104,107,2017 es el año de la séptima edición del Festival Internacional de Cine en el Desierto que hoy necesita de todos para llevarse a cabo.,70000,7 Festival Internacional de Cine en el Desierto,Exitoso,Sonora,71220,FICDesierto,Cine y video
105,106,"The book/object OFFERING is a visual experience of the awakening of hidden memories to heal and close cycles, under the shelter of fire",130000,OFRENDA Fotolibro / Photobook.,Exitoso,Chiapas,136168,Luis Enrique Aguilar Pereda,Fotografía
106,106,"5:03AM es un cortometraje que habla sobre las redes sociales y su forma de atravesar la vida, en este caso con relación al abuso sexual",100000,5:03AM,Exitoso,Distrito Federal,110155,Abril Schmucler Iñiguez,Cine y video
107,103,"Nuestra primera colaboración (: Vasijas de cerámica únicas y protectoras, intervenidas a mano por cuatro artistas mexicanos",72000,Colaboración Nº1: ALUXES,Exitoso,Distrito Federal,112511,La Refugio,Arte
108,103,"""Passarinho"" es nuestro cortometraje de tesis del Centro de Capacitación Cinematográfica (CCC), a filmar a fines de octubre",100000,"""Passarinho""",Exitoso,Mexico,100000,Passarinho,Cine y video
109,102,"Guía gratuita para explorar los barrios de la CDMX // Free bilingual guide to explore Mexico City through art, food and culture",102000,Mexico Creates: Revista Souvenir (App),Exitoso,Distrito Federal,104458,Karla y Alan,Editorial
110,102,"An Angry, adorable and chubby plush friend :D /\r
Un enojado, adorable y redondo amigo peluche :D",40000,BAKUGRRR your angry partner,Exitoso,Distrito Federal,86644,Paraíso Yaoi,Artesanía
111,100,Learn how to draw Manga in 12 weeks. Get from Zero (no drawing skills) to Hero (awesome artist).,140000,Learn to Draw Manga - The Rogue Mangaka Course,Exitoso,Baja California,175326,Mark Diaz,Arte
112,100,"Polos Opuestos - a gay/yaoi Arbook that explores diversity in gay couples, LGBT, Homoerotic, uncensored boy's love",50000,Polos Opuestos - ARTBOOK GAY/YAOI nsfw,Exitoso,Distrito Federal,56908,Paraíso Yaoi,Arte
113,100,"Revista trimestral, con formato impreso y digital (APP), creada especialmente para niños.  Temas diversos, desde ciencia hasta arte.",33000,"El Moco. Si lo lees, se te pega",Exitoso,Jalisco,50180,Itzel Chávez,Editorial
114,99,"A Transformers Fan Anthology by 21 Writers & Artists featuring fanfiction, illustration and comics.",49000,Equinox — A Megatron + Optimus Prime Fan Anthology,Exitoso,Aguascalientes,69000,Taiyari,Editorial
115,99,"Unravel the secrets behind this mysterious forsaken planet along with your team, find out what happen to those living there.",30000,PARADISE LOST - SCI-FI SURVIVAL HORROR GAME,Exitoso,Campeche,44150,Juan Pedraza,Juegos
116,98,Miniature Photography Tutorial and High Resolution Artworks for download.,25000,Small Cars with Big Imagination.,En curso,Quintana Roo,277028,Felix Hernandez Dreamphography,Fotografía
117,98,"Luis, en busca de la esposa perfecta, embruja a Regina con una licuadora de los años 50 esperando que cumpla sus ideales.",120000,"Esa no es una licuadora, es mi esposa.",Exitoso,Distrito Federal,125070,Fabi Mena,Cine y video
118,98,“Otro Muerto” is a short film selected by the GIFF representing the FAD - UNAM to be produced in a 48 hours in Guanajuato.,85000,Otro Muerto Cortometraje,Exitoso,Baja California,100840,Emilio González,Cine y video
119,97,Primo-Son es un grupo amante del son jarocho y de la música mexicana. Ayúdanos a grabar nuestro disco y promover nuestra cultura!,85000,Primo-Son,Exitoso,Baja California,91000,Pedro Reynoso Robleda,Música
120,97,"A comic about angels, demons, humans and a forbidden fruit in our current era.",45000,The Eighth: Chapter 1 (Make 100),Exitoso,San Luis Potosi,48596,Jackce Esquida,Cómic
121,96,"Voy a llevar mi música por primera vez al viejo continente. Con tu ayuda, esta gira puede llegar a muchos más lugares y personas.",120000,Joaquin Garcia Europe Tour 2019,Exitoso,Distrito Federal,125009,Joaquin Garcia,Música
122,96,'A Single Soul' is a full color Stucky fanbook organized by GYRHS with the collaborations of some guest artists.,25000,A Single Soul - Stucky Fanbook,Exitoso,San Luis Potosi,52570,GYRHS,Editorial
123,94,"Drama of a Mexican family, with accents of adventure, black comedy and documentary staging.",250000,Palacios de Bronce,Exitoso,Guanajuato,256060,Fásma Cine & Diavlo Films,Cine y video
124,94,"Necesitamos terminar la post producción del cortometraje ""No saltes, Magdalena"" /We need to finish the post production of a short film.",135000,"Cortometraje No saltes, Magdalena / Short film: Magdalena",Exitoso,Distrito Federal,154674,Sheila Flores,Cine y video
125,94,Going out with your pet has never been as comfortable and fun! 🐾,100000,The Pet-Friendly Backpack,Exitoso,Distrito Federal,143540,Bacanito,Diseño
126,94,Help fund my second solo album! | Mexican Symphonic / Prehispanic Metal | ¡Forma parte de la producción de mi segundo álbum solista!,27000,Anna Fiori: New Album,Exitoso,Distrito Federal,61645,Anna Fiori,Música
127,93,"First animated short film where  you can be a part of (literally)/\r
Primer corto animado donde tú podrás formar parte (literal)",100000,"Animation ShortFilm ""Fantasmántico"" (Ghostmantic)",Exitoso,Queretaro de Arteaga,120569,Casa Cocuyo,Cine y video
128,93,Un libro ilustrado acompañado de un soundtrack descargable // Illustrated book with downloadable soundtrack + cassette,110000,Narciso _nombre provisional_,Exitoso,Distrito Federal,115740,BRODER,Arte
129,93,A beautifully illustrated coloring book that features monsters from all around the world. Handmade ink illustrations.,30600,Bestiary Coloring Book,Exitoso,Distrito Federal,36129,J.A. Borboa,Arte
130,92,"Versión libre de ""La gaviota"" de Anton Chejov. Es una trayectoria alterno/temporal del recorrido de TREPLEV, el protagonista de Chejov",80000,Treplev,Exitoso,Distrito Federal,81843,Alonso Iñiguez Sosa,Teatro
131,92,Our books are ready to be transformed into one of kind incredible sculptures and astonishing masks.,30000,"Plain Papyrus: Printed, Scored & Pre-Cut PaperCraft Books",Exitoso,Distrito Federal,67508,Marlon,Artesanía
132,91,A wall lamp that eludes an eclipse as it increases the intensity of its light by moving the frontal screen towards the neon led ring.,250000,Projects of Earth: Lámpara Binomios,Exitoso,Baja California,251865,Comite de Proyectos,Diseño
133,90,A surreal and crazy sci-fi comedy feature film. Think: 'Rick and Morty meets The Office'.,8000,Atopia,Exitoso,Baja California,43606,Andrea Cartategui,Cine y video
134,89,"A fantastic reality book with short stories based on dreams, rewritten over a decade, and with precious art by Erik Mariñelarena.",85000,Soho ∞ La historia de amor entre la suerte y la inocencia,Exitoso,Distrito Federal,88540,Erik Mariñelarena,Editorial
135,88,We are crowdfunding the first print run of the book-tribute #NamelessHeroes. We want the volunteers who helped during the earthquake.,250000,Libro Héroes Sin Nombre. Homenaje a los voluntarios del 19S,Exitoso,Baja California,275844,Eduardo Feldman,Editorial
136,88,Queens Of The World: A Photography book that provides a glimpse into the drag scene of Mexico City.,400000,Queens Of The World: Una mirada a la escena drag de la CDMX,Fallido,Distrito Federal,118125,Luis Esparza y Desirée Treviño,Fotografía
137,88,Cortometraje de animación stop-motion con la participación de 24 niños. A short film stop-motion animation made with 24 children.,65000,La Pócima animación stop-motion,Exitoso,Baja California,72692,Gabriela Martínez Garza,Cine y video
138,88,"Dueña, no Doña es un cortometraje realizado por estudiantes universitarios del Tec de Monterrey, Querétaro.",50000,"Dueña, no Doña",Exitoso,Queretaro de Arteaga,52719,"Dueña, No Doña",Cine y video
139,87,Un niño persigue su pasión de convertirse en mariachi a costa de superar la realidad del lugar en donde vive.,150000,EL GALLO,Exitoso,Coahuila de Zaragoza,173829,Luis,Cine y video
140,87,Rockamilly es un cortometraje animado en técnica stopmotion que aborda el tema de la brecha generacional con una conmovedora historia,40000,Rockamilly,Exitoso,Jalisco,40930,Erick Ramírez Justo,Cine y video
