,Nombre del proyecto,Creador(a),Estatus,Ubicación (por estado),Descripción,Descripción (limpia),Palabras clave,Recaudado,Objetivo,Conteo de patrocinadores,Categoría
390,MÁSCARA MÍSTICA SHORTFILM,Yoav Galván Castillo,Exitoso,San Luis Potosi,Cortometraje que se realizará y participará en la décima edición del Rally Universitario de Guanajuato International Film Festival.,cortometraje realizará participará décima edición rally universitario guanajuato international film festival,"['film', 'realizara', 'participara']",60368,60000,45,Cine y video
391,La ciencia de la despedida,Ana Galán,Exitoso,Distrito Federal,Una producción de la Vincent Company,producción vincent company,['company'],46600,45000,45,Teatro
392,Mi Dosis (No) Me Ama,Daniel Sebastián Torres Islas,Exitoso,Distrito Federal,Cortometraje de interpretación de anime /Short film of an anime interpretation,cortometraje interpretación anime short film anime interpretation,"['interpretacion anime', 'film']",30028,30000,45,Cine y video
393,Caos obra de teatro,Alejandro Romero,Exitoso,Distrito Federal,Caos es una comedia amena y divertida que aborda las problemáticas de la drogadicción.,caos comedia amena divertida aborda problemáticas drogadicción,"['problematicas', 'comedia amena']",30000,30000,45,Teatro
394,El chesco!,Alejandro Martínez Castañeda,Exitoso,Sinaloa,"Recipiente de cerámica, inspirado en tradiciones sociales del México moderno / Ceramic vessel, inspired by traditions of modern Mexico",recipiente cerámica inspirado tradiciones sociales méxico moderno ceramic vessel inspired traditions modern mexico,"['mexico', 'ceramica inspirado']",23003,17500,45,Artesanía
395,IN ABSENTIA,In Absentia Cortometraje,Exitoso,Jalisco,Todo está en tu cabeza,cabeza,[],79253,75000,44,Cine y video
396,Fireflies,Cecilia Hinojos,Exitoso,Baja California,Fireflies es un cortometraje animado con técnica en stop motion y elementos en 3D,fireflies cortometraje animado técnica stop motion elementos 3d,"['motion', 'cortometraje animado']",66900,65000,44,Cine y video
397,"Cortometraje ""Verso""",Luis Arroyo,Exitoso,Distrito Federal,La historia de un joven que se enfrenta a una sospecha que podría desbaratar a su familia.,historia joven enfrenta sospecha podría desbaratar familia,"['desbaratar', 'joven enfrenta']",51800,50000,44,Cine y video
398,"Tortillero - ""... pásame otra tortilla""",Edgar Cabrera,Exitoso,Distrito Federal,Tortillero  una herramienta que ayuda a reconocer la relación y vínculos entre la comida y las personas. / Tortillero bin,tortillero herramienta ayuda reconocer relación vínculos comida personas tortillero bin,"['tortillero', 'relacion', 'reconocer']",40081,28900,44,Artesanía
399,Piedad - Cortometraje,Samantha Menchaca,Exitoso,Distrito Federal,"Una nube tóxica se aproxima, dos padres tienen que decidir entre sacrificar a uno de sus tres hijos o arriesgarse a perderlos a todos",nube tóxica aproxima dos padres decidir sacrificar tres hijos arriesgarse perderlos,"['toxica', 'hijos arriesgarse']",37368,30000,44,Cine y video
400,"""The Conquest of Space: Curiosity"" Poster",Fernando Ramírez León,Exitoso,Baja California,"19x27"" Curiosity: The conquest of space series poster.",19x27 curiosity conquest space series poster,['conquest space series'],35210,30000,44,Arte
401,La dieta del Guerrero,Üriarte,Exitoso,Distrito Federal,Un régimen milenario para la vida moderna. El libro con toda la información necesaria para iniciar La dieta del Guerrero hoy mismo.,régimen milenario vida moderna libro toda información necesaria iniciar dieta guerrero hoy mismo,"['hoy', 'milenario vida']",33028,33000,44,Editorial
402,Gaia,Ángela Chapa,Exitoso,Nuevo Leon,Gaia es un proyecto que utiliza la producción de maquetas combinadas con tecnología para crear un universo de fantasía.,gaia proyecto utiliza producción maquetas combinadas tecnología crear universo fantasía,"['universo', 'proyecto utiliza']",22348,15000,44,Cine y video
403,ECO,Diego Sepulveda Martin,Exitoso,Distrito Federal,"Un cortometraje de ficción que nos sumerge al mundo onírico de Noé, un Narciso moderno, urbano y decadente.",cortometraje ficción sumerge mundo onírico noé narciso moderno urbano decadente,"['urbano', 'ficcion sumerge']",201199,200000,43,Cine y video
404,Siempre Dani,Rosa Carranza,Exitoso,Baja California,Un padre de familia y su esposa se enteran de que su hijo en realidad es una niña. ¡Este es mi corto de tesis y necesito tu ayuda!,padre familia esposa enteran hijo realidad niña corto tesis necesito ayuda,"['familia', 'tesis necesito']",103000,100000,43,Cine y video
405,"Un algodón de azúcar, el payaso, Camila y yo.",Mayra Hermosillo,Exitoso,Distrito Federal,"Un domingo, Camila, sin saberlo, invita a Lucía, su mamá, a reconocer bajo una carpa de circo su único amor, nacido de su único odio.",domingo camila saberlo invita lucía mamá reconocer bajo carpa circo único amor nacido único odio,"['unico', 'camila saberlo']",84450,80000,43,Cine y video
406,"Malena Durán y Pepe Elorza - ""De Otro Modo"" - New Album LIVE",Malena Durán,Exitoso,Yucatan,Canción mexicana contemporánea: Postproducción y maquila del nuevo disco de Malena Durán dedicado a la obra de Pepe Elorza. Album LIVE,canción mexicana contemporánea postproducción maquila nuevo disco malena durán dedicado obra pepe elorza album live,"['album', 'mexicana', 'contemporanea']",72160,70000,43,Música
407,Axoque Studio: WantedDesign 2019,Axoque Studio,Exitoso,Michoacan de Ocampo,"Mexican furniture collection to New York.
Colección de mobiliario mexicana en Nueva York.",mexican furniture collection new york colección mobiliario mexicana nueva york,"['york', 'furniture collection']",64576,35000,43,Diseño
408,Antes de Cerrar Mis Ojos,Julz Cruz,Exitoso,Queretaro de Arteaga,"Cuenta la historia de Miguel, quien se enfrenta a la peor pesadilla de cualquier padre, cuando su hija Sofía desaparece en el desierto.",cuenta historia miguel enfrenta peor pesadilla cualquier padre hija sofía desaparece desierto,"['desaparece', 'historia miguel']",55000,40000,43,Cine y video
409,Los Secretos de la Cabaña,Emilio Leija,Exitoso,Distrito Federal,"Un largometraje independiente de suspenso, realizado por jóvenes con la confianza, capacidad y talento.",largometraje independiente suspenso realizado jóvenes confianza capacidad talento,"['independiente', 'confianza capacidad']",42458,40000,43,Cine y video
410,Detrás del Velo: en busca de la identidad maternal,Valentina Santillán Santamaría,Exitoso,Baja California,Un cortometraje sobre el proceso emocional de las mujeres al asumir el rol maternal y el descubrimiento de una depresión post parto.,cortometraje proceso emocional mujeres asumir rol maternal descubrimiento depresión post parto,"['proceso', 'depresion post']",34868,28000,43,Cine y video
411,Lophophora,Agu Plancarte Fexas,Exitoso,Distrito Federal,"¡Llevemos a Lophophora a Design Week Mexico 2017!\r
///\r
Let's get Lophophora to Design Week Mexico 2017!",llevemos lophophora design week mexico 2017r r lets get lophophora design week mexico,['lophophora design week'],34520,26000,43,Arte
412,Maestría en Dirección Coral,Tomás Acosta,Exitoso,Veracruz-Llave,"Solicito su apoyo para la realización de Maestría en Dirección Coral en la Universidad Veracruzana (Xalapa, Veracruz)",solicito apoyo realización maestría dirección coral universidad veracruzana xalapa veracruz,"['apoyo', 'xalapa', 'realizacion']",33000,30000,43,Música
413,ErikaSkerzz +18 Sketchbook,Erika Skerzz,Exitoso,Nuevo Leon,The first batch of Sketchbooks that will contain my current NSFW Portfolio.,first batch sketchbooks contain current nsfw portfolio,"['sketchbooks', 'current nsfw']",25678,15000,43,Arte
414,Atlallican: pueblo fértil // Atlallican: fertile village,Sofía Arestegui Rodríguez,Exitoso,Veracruz-Llave,"Felicia, una niña de 13 años, tiene su primera menstruación y su familia decide venderla aunque ella no está de acuerdo.",felicia niña años primera menstruación familia decide venderla aunque acuerdo,"['nina', 'venderla aunque']",20734,19480,43,Cine y video
415,Fairy tales and other things,Juan Lerma,En curso,Baja California,"5 STL Files Fairy tales and other things models ready for 3d printing, SFW & NSFW",stl files fairy tales things models ready 3d printing sfw nsfw,"['sfw', 'files', 'models']",13453,7000,43,Juegos
416,#SalvaAlForito3pesos,El forito $3 pesos,En curso,Queretaro de Arteaga,Rehabilitación y construcción de 3 salas de microteatro y la conservación de un empleo seguro y estable para 10 personas.,rehabilitación construcción salas microteatro conservación empleo seguro estable personas,"['estable', 'construccion salas']",8020,99000,43,Teatro
417,'Febrero' Cortometraje,Adrian Garcia Torri,Exitoso,Distrito Federal,Cortometraje de ficción con temática gay.,cortometraje ficción temática gay,"['ficcion', 'tematica', 'cortometraje']",90883,90000,42,Cine y video
418,"Folclore ""Mexican Party Game""",Ludens Games Co.,Exitoso,Guanajuato,"From Mexico to the World Folklore! A very funny partygame, with twists, exchanges, shouts, challenges and drinks.",mexico world folklore funny partygame twists exchanges shouts challenges drinks,"['challenges', 'world folklore']",86113,85000,42,Juegos
419,Anamnesis | Cortometraje,Amaury Barrera,Exitoso,Baja California,"Cortometraje estudiantil, que busca explorar de manera poética cómo lidiamos con el dolor en un mundo racional.",cortometraje estudiantil busca explorar manera poética cómo lidiamos dolor mundo racional,"['mundo', 'estudiantil busca']",78570,65000,42,Cine y video
420,Nitza Oremort / Primera Producción de Album,Jorge Martínez Valderrama,Exitoso,Baja California,"Mi anhelo es tocar las fibras mas sensibles del público mezclando sonidos como la ópera, el rock sinfónico y el new age.",anhelo tocar fibras mas sensibles público mezclando sonidos ópera rock sinfónico new age,"['new', 'tocar fibras']",78065,70000,42,Música
421,Renata Shortfilm,Jossué Román,Exitoso,Queretaro de Arteaga,"Una historia de lucha contra la depresión. / A story of fight against depression. 
Rally GIFF 2020.",historia lucha depresión story fight depression rally giff,"['lucha', 'depression rally']",60298,60000,42,Cine y video
422,ANDY-O,Luis Gerardo LoGar,Exitoso,Distrito Federal,"Cortometraje de ficción.\r
\r
Una historia de adversidad en la vida de un músico, porque el cliché no podía faltar.",cortometraje ficciónr r historia adversidad vida músico cliché podía faltar,"['podia', 'adversidad vida']",53000,50000,42,Cine y video
423,#Make100 Handcrafted Mini-Piñatas,Daniel Servin,Exitoso,Distrito Federal,"Piñatas have been a tradition of Mexico since ancient times, they are part of our culture and we want to share that with you.",piñatas tradition mexico since ancient times part culture want share,"['tradition', 'want', 'times']",40250,40000,42,Artesanía
424,KAQJAY (2006-////),FIEBRE Ediciones,Exitoso,Distrito Federal,"Libro sobre el trabajo del colectivo maya kaqchikel ""Kaqjay Moloj"", la arqueología comunitaria, y la memoria del genocidio guatemalteco",libro trabajo colectivo maya kaqchikel kaqjay moloj arqueología comunitaria memoria genocidio guatemalteco,"['genocidio', 'trabajo colectivo']",37860,35000,42,Arte
425,Cygnus: La última estrella,Irery Santibáñez Valdez,Exitoso,Queretaro de Arteaga,Corto de animación 2D que representa el amor incondicional que se tiene por la familia.,corto animación 2d representa amor incondicional familia,"['amor incondicional', 'animacion']",31754,30000,42,Cine y video
426,Bring Graficomovil Home,Artemio Rodriguez,Fallido,Michoacan de Ocampo,"Your support will help us transport Graficomovil from El Paso, TX. to Michoacán and pay for a year of public  art programming.",support help us transport graficomovil paso tx michoacán pay year public art programming,"['graficomovil', 'art', 'pay']",68445,180000,41,Arte
427,"""Árbol"" nuestro nuevo disco",Colores Santos,Exitoso,Baja California,"Nuestro próximo disco ""Árbol""",próximo disco árbol,"['proximo disco', 'arbol']",50818,50000,41,Música
428,Angeles Pacheco´s Band/ Ahora,Angeles Pacheco´s Band,Exitoso,Distrito Federal,"¡Vamos por la Mezcla y la Maquila!\r
Ya hemos grabado los doce temas, ahora pedimos tu contribución para tener el disco físico.",vamos mezcla maquilar grabado doce temas ahora pedimos contribución tener disco físico,"['disco', 'mezcla maquilar']",50650,45000,41,Música
429,CAUCE,Diego Nanook Chávez Elizalde,Exitoso,Michoacan de Ocampo,Cauce es un cortometraje sobre cómo una madre sobrelleva el duelo después de la muerte de su hija menor.,cauce cortometraje cómo madre sobrelleva duelo después muerte hija menor,"['cortometraje', 'hija', 'como']",46068,43500,41,Cine y video
430,¡Y para mi siguiente truco...!,Mario Heras,Exitoso,Distrito Federal,¿Sabes silbar? Una obra de Teatro para niños y abuelos,sabes silbar obra teatro niños abuelos,"['ninos', 'silbar obra']",35469,25000,41,Teatro
431,Final Feliz / Happy Ending - Cortometraje / Shortfilm,Bettina Acedo Moreno,Exitoso,Baja California,Una historia que pone voz y rostro al sueño americano. / A story that gives voice and face to the american dream.,historia pone voz rostro sueño americano story gives voice face american dream,"['american', 'pone voz']",35447,30000,41,Cine y video
432,TOLO LOCH Mushamukas / 1er Disco,Rodrigo Mata Alvarez,Exitoso,Guanajuato,Composiciones para Ensamble de Contrabajos basadas en rasgos culturales de México,composiciones ensamble contrabajos basadas rasgos culturales méxico,"['culturales', 'ensamble contrabajos']",32516,22000,41,Música
433,TOCI documental,Andrea Alvarado,Exitoso,Guanajuato,Cortometraje documental seleccionado en el concurso de Identidad y Pertenencia del Festival Internacional de Cine de Guanajuato.,cortometraje documental seleccionado concurso identidad pertenencia festival internacional cine guanajuato,"['cine', 'documental seleccionado']",31006,30000,41,Cine y video
434,Mujeres Pájaro: Crónicas de vuelo,Mujeres Pájaro,Exitoso,Distrito Federal,Proyecto teatral que investiga una pluralidad de significados del ser mujer a partir de los vuelos de mujeres reales y ficticias.,proyecto teatral investiga pluralidad significados ser mujer partir vuelos mujeres reales ficticias,"['mujer', 'mujeres', 'teatral investiga']",28300,26500,41,Teatro
435,Cien por ciento - cortometraje,Norma Lamadrid,Exitoso,Baja California,"Cortometraje acerca de la pérdida, la cercanía y la humanidad. \r
Shortfilm about grief, affection and humankind.",cortometraje acerca pérdida cercanía humanidad r shortfilm grief affection humankind,"['grief affection', 'acerca']",27203,25000,41,Cine y video
436,"Impresión ""Niña Piñata""",Joshua Hernandez,Exitoso,Mexico,"Estamos recaudando fondos para imprimir la Novela Gráfica ""Niña Piñata"" a todo color, encuadernando ejemplares a mano por cuenta propia",recaudando fondos imprimir novela gráfica niña piñata color encuadernando ejemplares mano cuenta propia,"['cuenta', 'fondos imprimir']",22760,20000,41,Cómic
437,Boss Mixed Monsters 3d Printable War-Games.,Juan Lerma,Exitoso,Baja California,"Creation of 3d figures for board games, ready to print. stl files Fantasy Monsters, Mecha, SWF & NSFW. Wargames, Tabletop, Wargames.",creation 3d figures board games ready print stl files fantasy monsters mecha swf nsfw wargames tabletop wargames,"['wargames', 'board games']",22078,10000,41,Juegos
438,"Fantasmitas, cinco sueños regresando al sur",Fantasmitas,Fallido,Baja California,Obra de teatro para jovenes audiencias que aborda el tema de niñas y niños migrantes,obra teatro jovenes audiencias aborda tema niñas niños migrantes,"['ninos', 'teatro', 'ninas']",20119,45000,41,Teatro
439,Las Bocas de Belcebú - Cómic,Tkrmz,Exitoso,Mexico,"Cómic spin-off de drama y aventura, desarrollado en un universo steampunk y gótico llamado Ellyllum.",cómic spinoff drama aventura desarrollado universo steampunk gótico llamado ellyllum,"['spinoff', 'gotico llamado']",15301,13300,41,Cómic
440,Los anónimos,Ernesto Jaime,Exitoso,Baja California,Cortometraje estudiantil,cortometraje estudiantil,['estudiantil'],12268,12000,41,Cine y video
441,Golpes en mi puerta,Alicia Quinonez,Exitoso,Baja California,Cortometraje de thriller psicológico . Que plantea como la violencia de genero puede desarrollarse en esquizofrenia.,cortometraje thriller psicológico plantea violencia genero puede desarrollarse esquizofrenia,"['thriller', 'puede desarrollarse']",11600,10000,41,Cine y video
442,Adryana Marroquín - Primera Gira Internacional a Colombia,Adryana Marroquin,Exitoso,Distrito Federal,Soy una cantautora-pianista mexicana y quiero llevar mi música a tierras Colombianas. Les pido su apoyo para lograr este sueño.,cantautorapianista mexicana quiero llevar música tierras colombianas pido apoyo lograr sueño,"['mexicana', 'apoyo lograr']",101200,100000,40,Música
443,Never Seen Autumn - EP,Never Seen Autumn,Exitoso,Distrito Federal,Somos una banda de la CDMX que incorpora distintos géneros musicales sumando un elemento bilingüe. Dos hermanos. Una ciudad. Una voz.,banda cdmx incorpora distintos géneros musicales sumando elemento bilingüe dos hermanos ciudad voz,"['cdmx', 'hermanos ciudad']",101086,100000,40,Música
444,TIERRA Cortometraje,Carolina Caballero,Exitoso,Mexico,"Cortometraje de ficción del Centro de Capacitación Cinematográfica, filmado en 35 mm",cortometraje ficción centro capacitación cinematográfica filmado mm,"['cinematografica', 'ficcion', 'capacitacion']",70538,70000,40,Cine y video
445,Paseo en Bici (videoclip),Rubén Enrique Miranda Santos,Exitoso,Distrito Federal,"LOS INQUILINOS somos un proyecto musical de la Ciudad de México que mezcla diversos géneros musicales, constituido desde hace 5 años.",inquilinos proyecto musical ciudad méxico mezcla diversos géneros musicales constituido hace años,"['proyecto', 'constituido hace']",69920,65000,40,Música
446,Boys of the Night - narrative Boys Love artbook,Dacachi Fujino,Exitoso,Baja California,"A narrative Artbook about an other side of boys sexuality, desires and identity",narrative artbook side boys sexuality desires identity,"['sexuality desires', 'narrative']",69518,60000,40,Cómic
447,LO COMPLICADO - CORTOMETRAJE,Elena Guerra,Exitoso,Distrito Federal,Cortometraje de tesis de Elena Guerra Cuéllar alumna de cine en CENTRO. Una historia de amor en las entrañas de la Ciudad de México.,cortometraje tesis elena guerra cuéllar alumna cine centro historia amor entrañas ciudad méxico,"['tesis', 'entranas ciudad']",51310,50000,40,Cine y video
448,No hables con la boca punk,Thelma Ruiz,Exitoso,Distrito Federal,"Cortometraje de titulación que cuenta la historia de Carmen, una niña de 15 años que decide romper todas las reglas para volverse punk.",cortometraje titulación cuenta historia carmen niña años decide romper todas reglas volverse punk,"['titulacion', 'reglas volverse']",42058,40000,40,Cine y video
449,SIGILO Short Film,Lorena De Blas P,Exitoso,Guanajuato,Cortometraje de ficción sobre una relación disruptiva entre padre e hijo que se producirá en el municipio de Salamanca.,cortometraje ficción relación disruptiva padre hijo producirá municipio salamanca,"['ficcion', 'producira municipio']",35340,30000,40,Cine y video
450,Mu - cortometraje,Natalia Cabello Stellino,Exitoso,Distrito Federal,Luna le tiene fobia a las vacas... pero ella misma muge cuando siente placer.,luna fobia vacas misma muge placer,"['fobia', 'misma muge']",29500,27000,40,Cine y video
451,"Fairy Tales in Wonderland, a collection quickstarter",GYRHS,Exitoso,Nuevo Leon,A collection of merchandise set in different fairy tales. The designs include Thor and Captain America characters as well as originals.,collection merchandise set different fairy tales designs include thor captain america characters well originals,"['merchandise', 'captain america']",28128,25000,40,Arte
452,Oftálmica 2018,Oftálmica Cine,Exitoso,Veracruz-Llave,"VI Muestra Internacional de Cine Independiente; espacio de exhibición,  diálogo y encuentro para realizadores audiovisuales.",vi muestra internacional cine independiente espacio exhibición diálogo encuentro realizadores audiovisuales,"['internacional', 'encuentro realizadores']",20473,20000,40,Cine y video
453,"El Libro ""La Transformación NO tolera la mediocridad""",Alejandro Cruz,Exitoso,Baja California,"Libro enfocado en el crecimiento personal, liderazgo, plenitud y cambio, para Transformarnos a nosotros mismos en nuestra mejor versión",libro enfocado crecimiento personal liderazgo plenitud cambio transformarnos mismos mejor versión,"['enfocado', 'mismos mejor']",10730,8000,40,Editorial
454,"""PEPE Co."" Shortfilm",Carlos Romo,Exitoso,Aguascalientes,"Cortometraje que participa en la selección oficial del rally universitario GIFF.
""PEPE Co"". Es creado por estudiantes de la UAA",cortometraje participa selección oficial rally universitario giff pepe co creado estudiantes uaa,"['estudiantes', 'participa', 'giff']",91652,90000,39,Cine y video
455,LOS CUERPOS QUE SE APAGAN/消える体,Ximena Mont Suá,Exitoso,Distrito Federal,"Tesis Fílmica del Centro Universitario de Estudios Cinematográficos. Proyecto que busca ser filmado en las calles de Tokio, Japón.",tesis fílmica centro universitario estudios cinematográficos proyecto busca ser filmado calles tokio japón,"['filmica', 'calles tokio']",63663,60000,39,Cine y video
456,El Lado Oscuro Del Mar LP,Rap De Luz,Exitoso,Nuevo Leon,"Una obra que impulsa a contactar nuestras emociones oscuras y enfrentarlas en la lucha, contra uno mismo, que se libra día con día.",obra impulsa contactar emociones oscuras enfrentarlas lucha mismo libra día día,['impulsa contactar emociones'],60838,60000,39,Música
457,MurrrTV,MurrrTV,Exitoso,Distrito Federal,The animated channel created by and for furries from all around the world.,animated channel created furries around world,['channel created furries'],38260,35000,39,Cine y video
458,Creating Miracles... Textiles (Creando Milagros...Textiles),Hilda Xitlalic López Mendez,Exitoso,Oaxaca,"We improve the quality of life in Oaxacan artisans, through courses and workshops",improve quality life oaxacan artisans courses workshops,"['quality', 'artisans courses']",38220,35000,39,Artesanía
459,Cortometraje | El peso de mi cruz,Marco Jiménez,Exitoso,Queretaro de Arteaga,"Una historia que nos muestra el estado de depresión profunda y angustia que ha roto una familia y, por lo tanto, un matrimonio.",historia muestra depresión profunda angustia roto familia matrimonio,"['muestra', 'roto familia']",38167,38000,39,Cine y video
460,El Huizache,Miguel Tierrafría,Fallido,Guanajuato,Centro Cultural,centro cultural,['cultural'],32927,150000,39,Arte
461,Manko y el mundo de los espíritus,David Calderon,Exitoso,Baja California,Manko y el mundo de los espíritus es una novela de ficción inspirada en mi viaje por Sudamérica.,manko mundo espíritus novela ficción inspirada viaje sudamérica,"['mundo', 'inspirada viaje']",30293,30000,39,Editorial
462,Terror Culero Videoclip Oficial.,Terror Culero,Exitoso,Baja California,"Videoclip oficial del nuevo sencillo de la banda de mexicana, Terror Culero.",videoclip oficial nuevo sencillo banda mexicana terror culero,"['oficial', 'mexicana terror']",26258,25000,39,Cine y video
463,Marta,Irma Saucedo González,Exitoso,Nuevo Leon,A story to Marta´s memories of Chicago during the 1970´s when latino communities joined forces to have the right to higher education.,story martas memories chicago 1970s latino communities joined forces right higher education,"['martas memories', 'communities']",200783,200000,38,Cine y video
464,Inmóvil | Short Film (LiveAction),Nuclear Cinema,Exitoso,Baja California,Inmóvil es un thriller psicológico que retrata la decadencia de un hombre como consecuencia de su pasado.,inmovil thriller psicologico retrata decadencia hombre consecuencia pasado,"['consecuencia', 'thriller psicologico']",123370,120000,38,Cine y video
465,New CD Un blues en la penumbra/Tere Estrada,Tere Estrada,Exitoso,Distrito Federal,Recaudamos fondos para  nuestro octavo disco Un blues en la penumbra/ We are funding for our 8th album A blues in the gloom,recaudamos fondos octavo disco blues penumbra funding 8th album blues gloom,"['blues penumbra', 'fondos']",68790,60000,38,Música
466,"""MUTE"" Shortfilm",MUTE Shortfilm,Exitoso,Nayarit,Selected script for participate on the Guanajuato International Film Festival`s Rally Universitario 2018,selected script participate guanajuato international film festivals rally universitario,"['rally', 'script participate']",63824,60000,38,Cine y video
467,ROJO,Andrea Gaytán Tassier,Exitoso,Distrito Federal,"Verónica, una artista en decadencia, hará lo que sea con tal de pintar una obra con el color más perfecto: el rojo de la sangre humana.",verónica artista decadencia hará tal pintar obra color perfecto rojo sangre humana,"['sangre', 'artista decadencia']",58768,52600,38,Cine y video
468,CETONIA,Alberto Paulin,Exitoso,Baja California,Sistema de macetas a muro de ceramica esmaltada / Wall ceramic planter system,sistema macetas muro ceramica esmaltada wall ceramic planter system,"['macetas', 'wall ceramic']",46015,38774,38,Arte
469,"Publicación de libro: ""Lapsus. Bestias del tiempo perdido""",Elliott,Exitoso,San Luis Potosi,"Un libro de cuentos de terror con un toque fantástico y crítico, aborda un trasfondo cultural de la sociedad representado en monstruos.",libro cuentos terror toque fantástico crítico aborda trasfondo cultural sociedad representado monstruos,"['cuentos', 'sociedad representado']",41371,40000,38,Editorial
470,La niña y el cráneo,DJ,Exitoso,Baja California,Cortometraje de ficción,cortometraje ficción,"['cortometraje', 'ficcion']",40618,40000,38,Cine y video
471,El Color del Cielo - Cortometraje Tesis UAEMéx.,Brenda Angélica Monge Palacios,Exitoso,Baja California,Cortometraje para titulación en Estudios Cinematográficos en UAEMéx,cortometraje titulación estudios cinematográficos uaeméx,"['cinematograficos', 'titulacion estudios']",30850,30000,38,Cine y video
472,Pastel de Cumpleaños,Víctor Mar,Exitoso,Distrito Federal,Un cortometraje fantástico que te llevará a vivir un viaje tan divertido como oscuro y honesto.,cortometraje fantástico llevará vivir viaje tan divertido oscuro honesto,"['fantastico', 'divertido oscuro']",30000,30000,38,Cine y video
473,Te lo digo así porque no encontré mejor forma para hacerlo,Te lo digo asi...,Exitoso,Distrito Federal,Hay veces que es necesario un encierro para poder aprender a soltar.,veces necesario encierro poder aprender soltar,"['aprender', 'necesario encierro']",28850,27000,38,Cine y video
474,El Balcón de Jean Genet Dir. Martín Acosta CasAzul 2017,Catástrofe Teatro,Exitoso,Distrito Federal,Estamos apunto de graduarnos con esta puesta en escena y con tu ayuda lograremos que esta producción se haga realidad.,apunto graduarnos puesta escena ayuda lograremos producción haga realidad,"['graduarnos', 'produccion haga']",23090,20000,38,Teatro
475,Barquillo - envase de cerámica para helado / ice cream bowl,Mariana Solis E,Fallido,Baja California,Cono o envase para helado tamaño familiar (1/2 lt.) con cuchara. / Ceramic ice cream bowl family size (1/2lt.) with spoon.,cono envase helado tamaño familiar lt cuchara ceramic ice cream bowl family size 12lt spoon,"['tamano', 'envase helado']",19277,24200,38,Artesanía
476,Libro: Kokone habla.,Enrique Juarez G,Exitoso,Jalisco,"Libro infantil hecho en colaboración con los niños, niñas y adolescentes de la comunidad de San Juan de Ocotán.",libro infantil hecho colaboración niños niñas adolescentes comunidad san juan ocotán,"['infantil', 'san juan']",18301,18000,38,Editorial
477,Fractal Dimension: Chronos - Nuevo Albúm 2019.,Eddie Warboy,Fallido,Jalisco,"Campaña Oficial de Fractal Dimension.
Chronos / New Album 2019.",campaña oficial fractal dimension chronos new album,"['oficial', 'chronos new']",12518,30000,38,Música
478,Revista Memorias de Nómada,Katia Rejón,Exitoso,Yucatan,"Memorias de nómada es una revista de arte, cultura y literatura de Mérida, Yucatán, difundimos el talento local de la ciudad.",memorias nómada revista arte cultura literatura mérida yucatán difundimos talento local ciudad,"['nomada', 'talento local']",6400,5000,38,Editorial
479,Obertura: Vistiendo un mundo con arte,Pimperl,Exitoso,Distrito Federal,"En Pimperl integramos arte en prendas sustentables y de estilo único, fomentando el comercio justo.",pimperl integramos arte prendas sustentables estilo único fomentando comercio justo,"['integramos', 'fomentando comercio']",100840,100000,37,Arte
480,retratAthe,Athenea Papacostas Villegas,Exitoso,Baja California,Haré el retrato de TODOS los que apoyen el proyecto hechos con una sola línea / I'll do the portraits of everyone that funds!!!,haré retrato apoyen proyecto hechos sola línea ill portraits everyone funds,"['ill', 'retrato apoyen']",72025,70000,37,Arte
481,"¡Mi Primer Libro! ""Caballero"" Una novela con un gran mensaje",Uziel Espinoza,Exitoso,Baja California,"Desde pequeño siempre quise escribir un libro, poder transmitir un mensaje limpio, fuerte y claro para las generaciones.",pequeno siempre quise escribir libro poder transmitir mensaje limpio fuerte claro generaciones,"['siempre', 'fuerte claro']",55996,53000,37,Editorial
482,"Telgopor presenta su primer álbum ""Regresar al Naufragio""",Kerygma larrazabal,Exitoso,Distrito Federal,"Producción y maquila de LP del primer disco del colectivo ""Telgopor""",producción maquila lp primer disco colectivo telgopor,"['disco colectivo', 'maquila']",53568,50000,37,Música
483,Narraciones Destiladas: Bestiario,Jorge Haro,En curso,Jalisco,"La tercera entrega de la serie antológica ""Narraciones Destiladas"". Ahora con un toque animal.",tercera entrega serie antológica narraciones destiladas ahora toque animal,"['toque', 'entrega serie']",42638,60000,37,Editorial
484,Make 100 | Frida Kahlo Art Toy,Quetzalcolor,Exitoso,Puebla,Handmade mexican toys inspired by Frida Kahlo,handmade mexican toys inspired frida kahlo,"['mexican', 'inspired frida']",38670,35000,37,Artesanía
485,La Femenil / The Women's Arena,La Femenil,Exitoso,Nuevo Leon,"Documentary film about female Wrestling, Who were the precursors? Who are its protagonists? and how is the circuit currently.",documentary film female wrestling precursors protagonists circuit currently,"['film', 'protagonists circuit']",36478,35000,37,Cine y video
486,"""4:33"" Cortometraje de titulación de la ENAC",Alex Ortega,Exitoso,Baja California,"Mi tesis fílmica de la ENAC (Antes CUEC)  titulada ""4:33"". Hemos olvidado escuchar y si uno no escucha, no puede cambiar su mundo.",tesis fílmica enac cuec titulada olvidado escuchar si escucha puede cambiar mundo,"['puede cambiar', 'filmica']",36156,30000,37,Cine y video
487,JOCASTA l Cortometraje l,JOCASTA,Exitoso,Baja California,Cortometraje. Una historia sobre el deterioro de la fibra familiar.,cortometraje historia deterioro fibra familiar,['historia deterioro fibra'],33830,30000,37,Cine y video
