,Proyecto,Autor(a),País,Descripción,Recaudación,Porcentaje,Vistas,Colaboradores,Categoría
423,LA VIDA DE VIAJE,La Vida de Viaje,Argentina,La Vida de Viaje es un proyecto foto documental de un fotógrafo y una bloguera que buscan unir Ushuaia-La Quiaca en bicicleta.,64323,105,17800,97,Artes visuales
424,"MAMA, SOY GAY!",Sofia Elliot,Argentina,"Serie de Cortos, género comedia, que trata sobre las diferentes reacciones que tuvieron algunas personas al escuchar o decir ""Soy Gay""",78849,105,64100,51,Artes visuales
425,CADA DÍA UNA COPITA X PAIO,Paio,Argentina,"Hola soy Paio Zuloaga, soy diseñador grafico y dibujante. Mi inquietud siempre fue el arte y la creatividad y mi inspiración el humor grafico, Siempre admiré a esa gente que dibuja en ""la parte de atrás del diario"". En enero de 2008 cree mi blog con un objetivo, hacer un chiste x día durante 1 año, lo llame CADA DIA UNA COPITA, y lo que en un principio lo tomé como un hobbie se fue convirtiendo en un trabajo. Hoy, mas de 3 años después y con el reconocimiento de dibujantes x quienes tengo admiración y de fans que se suman día a día quiero cumplir otro objetivo: editar el libro, ""Cada dia una copita"" vol.1, una recopilación de los dibujos e ilustraciones más divertidos e interesantes, en un formato de 20 x 20 cm, 96 páginas color de humor a lo Paio. En este objetivo necesito tu aporte, quiero que participes del proyecto y me ayudes a hacerlo real. entra a ideame.com, mirá el video y colaborá de algun modo, vas a tener recompensas a cambio: skins para tu celular o para tu laptop, bocetos, originales del libro, el mismo libro cuando se edite y las gracias sinceras. Tengo 40 días para juntar el monto y que esto se haga realidad, compartiendo este video entre tus conocidos también me estarás ayudando. Si el libro se edita, las cosas seguirán cambiando y sorprendiéndome, esto significará que vivo. Solo quedará sacarle más punta al lápiz y buscar otra hoja en blanco. ¡Espero contar con tu ayuda para que así sea! Gracias x mil x PAIO",158610,105,29800,97,Editorial
426,SIQUEIRA ENTRE NÓS,wellington monteiro,Brasil,Gravação do CD do compositor e cavaquinista Siqueira.,42506,105,6400,50,Música
427,"PILO GARCÍA, NUEVO DISCO!!",PILO GARCIA,Argentina,"""Del otro lado"", Ya se encuentra en la etapa final de producción. El objetivo es fabricar 1000 copias, te invito a ser parte del proyecto!!!",4124,105,8900,49,Música
428,TRINA,REM PRODUCCIONES AUDIOVISUALES,Argentina,“TRINA” es un cortometraje que refleja tres posibles respuestas ante una misma situación.,13726,105,1900,49,Cine y video
429,REMERAS BY KURARA HIMURA,KuraraHimura,Argentina,Diseños propios y originales. Con tu ayuda puedo hacer una producción exclusiva! Inspiradas en el mágico mundo de Harry Potter.,6887,105,7000,42,Diseño
430,LIO SE CANSÓ DE HACER GOLES,learojas,Argentina,"¿Cómo escribir sin el corazón en la mano, cuando se escribe sobre fútbol?. Para mí, es imposible. Así se pensó cada párrafo de este libro.",25355,105,13100,48,Editorial
431,CARASLARGAS - SEGUNDO DISCO,Ariel Nonamë,Chile,"Ayúdanos a terminar nuestro segundo disco! Las canciones están listas, ahora sólo necesitamos tu ayuda!",60262,105,6100,57,Música
432,EL PRIMER DISCO DE ÖXA,elmisteriodeoxa,Chile,ÖXA necesita tu ayuda para hacer de este sueño una realidad.,60605,105,8500,76,Música
433,"DISCO DEBUT ""EMBROIDERY""",Walk the Rail,Chile,Adquiere tu copia del disco y otras recompensas mientras nos ayudas a finalizar el lanzamiento de nuestro debut al mundo del rock!,30031,105,3700,52,Música
434,NUEVO DISCO DE HOMBRE SURREAL!,Hombre Surreal,Argentina,"Con tu colaboración vamos a poder terminar las etapas de edición, mezcla y mastering de nuestro nuevo disco Espiritu.",6895,105,4500,37,Música
435,EXTRAÑAMIENTO,gatex,Argentina,Disco de rock post progresivo. Música under.,2402,105,1900,10,Música
436,PRIMER DISCO!!!!,Mariana Lara,Argentina,"La idea de este proyecto es que COMPREN EL DISCO POR ANTICIPADO, DE ESTA MANERA ME ESTAS AYUDANDO A EDITAR EN FORMATO CD .",10320,105,7500,46,Música
437,PREVENTA ¿DÓNDE ESTÁ MI PERRO?,Play Shodaka,Argentina,PLAY SHODAKA tiene disco nuevo ¿Dónde Está mi Perro? Ayudanos con la Presentación Oficial. Tenemos solo 30 días. ...::: MIRA EL VIDEO :::..,7912,105,7500,92,Música
438,FAUSTO CRIOLLO EDICIÓN LIBROCD,Mario Esteban,Argentina,"Ayudame a editar un CD/Libro con mi música sobre el poema ""Fausto"" de Estanislao Del Campo e ilustrado por ""MILA"". ¡Sé parte del proyecto!",12095,105,9100,50,Música
439,EL DISCO DE MYRNA MINKOFF,Myrna Minkoff,Argentina,Myrna Minkoff terminó de grabar su primer disco y necesita tu aporte para la mezcla y el mastering.,2059,105,5600,18,Música
440,MAMUSHKA SERIE WEB,Mamushkasw,Argentina,"La humanidad decide vivir en OTRO PLANETA, parte de la población es ABANDONADA en la Tierra. Ellos forman #LaComunidad y deciden rebelarse.",3448,105,2600,28,Cine y video
441,COSEQUIA,solomoros,Argentina,Largometraje ficcional gestado como tesis de la carrera de Diseño de Imagen y Sonido (FADU-UBA) que busca trascender el marco académico,8654,105,9200,217,Cine y video
442,MACRI EN 3 - TEMPORADA 2017,Macri en 3,Argentina,Somos el único resumen semanal crítico sobre el gobierno macrista y queremos seguir durante el año que viene haciéndolo!,16503,105,26000,162,Cine y video
443,ELIZA ILUSA,ANTONIO CARDENAS GAEHD,México,"Cortometraje sobre Eliza una niña que pide a las estrellas volver a ver a su padre, sin pensar él volvería... en una forma aterradora.",76016,105,10900,23,Cine y video
444,QUINTAO,Rico Venerito,Brasil,Viabilize a exibição do documentário QUINTAO durante a Virada Sustentável 2012 em São Paulo.,2426,105,1800,15,Cine y video
445,REFUGIOS DE LA PATAGONIA,Tomas Coudures,Argentina,Realización de 4 capítulos en los cuales se dará a conocer la vida en diferentes refugios de montaña de la Patagonia Argentina.,63146,105,8500,22,Cine y video
446,PRIMER DISCO DE NEW SOULS,new souls,Argentina,Somos una banda de Reggae que necesita tu ayuda para lograr nuestro sueño: grabar nuestro primer disco! Se parte de nuestra historia.,3409,104,5100,40,Música
447,MEU CORAÇÃO É...,Anna Toledo2,Brasil,"CD ao vivo da cantora Anna Toledo, gravado em Curitiba (PR), com repertório de samba-canção brasileiro.",63127,104,1900,128,Música
448,CD MANCHETE DO TICO-TICO,Victor Batista,Brasil,"Compartilhando valores, atitudes e idéias em prol do nosso ecossistema.",28510,104,4600,70,Música
449,CD COMO A GENTE QUER,TEST DRIVE,Brasil,"O cd ""COMO A GENTE QUER"" é o nosso primeiro disco, contem 13 faixas inéditas e mostra REALMENTE qual a cara da banda.",14841,104,4500,84,Música
450,KALMA KARMA,Mauricio Mayer,Argentina,"Mauricio Mayer es un artista independiente que busca editar en formato físico su segundo disco, “Kalma Karma”, con financiación colectiva.",3265,104,5900,42,Música
451,LA CISCU Y SU DISCO,La Ciscu Margaret,Chile,"Somos una banda clown, fusión de teatro y música. Queremos grabar en Junio nuestro Primer Disco, 10 temas de creación propia.",59575,104,12100,71,Música
452,"8, NUEVO DISCO EN VINILO Y CD",Marco Sanguinetti,Argentina,"Ya grabamos la música, ya está diseñado el pack. Nos falta fabricar los CDs y vinilos. ¡Contamos con tu ayuda para completar esta etapa!",11921,104,12700,94,Música
453,MONOTORO,juampidicesare,Argentina,"El Monotoro, mi tercer disco como solista, ya está listo para su etapa final de grabación y edición. Necesito de tu participación.",11935,104,7000,69,Música
454,HUMO A MEDIANOCHE,Pablo Doreste,Argentina,Queremos filmar la historia de un editor de cine de detectives que entra en su película y da un nuevo rumbo al caso! Ayudanos a recibirnos!,3417,104,5300,40,Artes visuales
455,LANZAMIENTO DVD DANIEL CHIANG,Daniel Chiang,Chile,"Estamos a las puertas de poder lanzar el DVD ""Letras por Pistolas en vivo"", necesitamos tu aporte para poner el broche final a este proyecto",74648,104,6700,18,Música
456,CUADERNOS DIBUJADOS,Petre66,Argentina,Un libro que recopila mis trabajos en cuadernos. Un registro en el que la realidad y lo imaginario se entrelazan en dibujos.,11954,104,16300,94,Artes visuales
457,UNA ESQUINA IMPOSIBLE,kleinariel,Argentina,Campaña solidaria para difundir el 1er corto de cine infantil sobre Parque Chas a través de funciones gratuitas.,3060,104,9600,39,Cine y video
458,JOHN SUNDAE - JAZZ FISIÓN,Facundo Aguirre,Argentina,"Queremos editar nuestro primer álbum de estudio. Ya grabamos en el estudio ""Del Cielito"" y necesitamos de tu aporte para concluir la edición",3075,104,8500,31,Música
459,QUEREMOS GRABAR DISCO NUEVO!,losrusoshijosdeputa,Argentina,"Somos Los Rusos Hijos de Puta, queremos grabar nuestro disco y necesitamos tu ayuda!",5474,104,19200,70,Música
460,NUEVO DISCO LP DE BLAK LYONS,Blak Lyons,Argentina,Colaborá y formá parte de la creación integral de nuestro nuevo disco!,7533,104,7300,49,Música
461,:: SER EL AGUA :: LUVI TORRES,Luvi Torres,Argentina,"UN DISCO que tiene como misión promover el desarrollo, la conciencia y el cuidado del AGUA QUE SOMOS. TODOS somos parte, hoy! ::",9940,104,18800,95,Música
462,"YO SOY TU PADRE! 4, 5 Y 6",Matias Mosqueda,Argentina,"""Yo Soy Tu Padre!"", el fanzine que cuenta la ardua aventura de ser padre sigue sus andanzas en el mundo de la autoedición.",11928,104,1200,40,Editorial
463,UKAKO,J Animation,Argentina,"Estamos realizando UKAKO, nuestra cuarta animación cuadro por cuadro, esta vez a todo color!",62786,104,6100,17,Cine y video
464,KAY PACHA,Hernán Paz,Argentina,Kay Pacha - Fotografías Hernán Paz (2013-1993) - es una síntesis de mis 20 años de trabajo en fotografía documental. Gracias x ser parte !!,12920,104,12000,107,Artes visuales
465,LAS ALMENDRAS AMARGAS,Giallo Cine,Argentina,"Thriller sobre el caso ""Yiya Murano"" y su impacto en la relación de dos vecinas. Tesis de alumnos de Diseño de Imagen y Sonido (UBA).",10245,104,4200,71,Cine y video
466,LA PELÍCULA DE LA CHACHA,ChachaVillagra,Argentina,"""Villagra el Libertador"" es un film sobre Julio César Villagra (1961-1993), uno de los máximos ídolos de la historia del C. A. Belgrano.",17124,104,6600,113,Cine y video
467,TODAS MIS LOLAS: MINISERIE WEB,Todas Mis Lolas,Argentina,"Hola! Somos Marlene y Lucía: directoras, guionistas y actrices. Estamos buscando financiamiento para realizar nuestra miniserie!",13660,104,14200,282,Cine y video
468,POR QUÉ ROMPE EL CIELO,Por qué Rompe el Cielo,Argentina,"Después de la inundación del 2 de abril en La Plata, cuatro personas deambulan en una camioneta, sin poder contactarse con el exterior.",1699,104,7000,147,Cine y video
469,USTED ESTÁ AQUÍ EXPERIENCE,Nati Chami,Argentina,Son muchos viajes en un mismo lugar. Una mezcla de surrealismo con hiper realidad. ¿Estás listo para ser protagonista?,82714,104,21100,69,Artes visuales
470,NUEVO DISCO DEL ÁRBOL DE DIEGO,El árbol de Diego,Chile,"Las canciones están listas. Ayúdame a financiar la grabación en estudio de mi segundo álbum ""Doy fe"".",104107,104,8200,122,Música
471,EN VOZ DE MUJER,ANATEMA,Argentina,"En voz de mujer es el primer disco de Anatema, trío de comadres cordobesas que se empoderan en sus voces el bombo y la guitarra.",11941,104,3400,48,Música
472,GIRLS ROCK CAMP ARGENTINA 2018,chicasamplificadas,Argentina,"La primer colonia de rock para niñas y adolescentes del pais! Crearán sus bandas, sus propios temas y participaran de talleres empoderadores",10278,104,13500,66,Música
473,CHAPEAU LANZA SU PRIMER DISCO,Daniela Mercado,Argentina,"Necesitamos vuestro aporte para editar y fabricar nuestro disco ""Tango de Autor"", doce temas del panorama tanguero actual en piano y violín.",11928,104,5300,84,Música
474,MESTIZAJENVIAJE PRIMER DISCO,FA Mestizajenviaje,Chile,"Somos una familia viajera desde hace 5 años ya, y nuestra bitácora de viaje será nuestro primer disco ""LA DULCE LOCURA"", Gracias a su ayuda!",53970,104,8300,64,Música
475,MANU Y LA JOVEN PANDILLA,Manu Hattom,Argentina,Estamos terminando el segundo disco en estudio. Y necesitamos financiar la edición física del disco mediante la pre venta del mismo! Ayuda!,6838,104,7400,99,Música
476,BARRILETES Y FLORES,Mercedes García Blesa,Argentina,"Nuevas músicas para chicos, en un recorrido por latinoamérica, con historias y escenarios coloridos...",10245,104,7700,77,Música
477,OLIVIA HOUSSAY PRE VENTA 2 CD,olivia houssay,Argentina,"A punto de concretar la salida de Otoño, segundo CD de Olivia. El Audio ya esta necesitamos Tu Aporte para Fabricarlo y que salga a la luz!",10216,104,6300,129,Música
478,DOMADORES DE POLILLAS 1ER CD,Pablo Berenstein,Argentina,"Grabación del primer disco de Domadores de Polillas, ensamble instrumental, ecléctico y 86% acústico http://www.domadoresdepolillas.com.ar",5967,104,7200,50,Música
479,"CD ""BUENOS AIRES BEBOP""",Delfina Oliver Jazz,Argentina,Necesito tu colaboración para terminar mi tercer disco de estudio “BUENOS AIRES BEBOP” y editarlo en forma independiente.,23298,104,13800,63,Música
480,RUVEL,Ruvel,Argentina,Ayudanos a editar nuestro disco!,10213,104,7300,129,Música
481,CIUDAD SIN SOL. MAR DEL PLATA.,Norberto Andrés,Argentina,Aun en medio de la ciudad la naturaleza se impone. ¿Cómo elegís vivirla? 30 fotografías realizadas en Mar del Plata en un libro de lujo.,7495,104,9600,44,Artes visuales
482,RETRATOS DE UNA BÚSQUEDA,Alicia Calderon,México,Un documental sobre madres que buscan a sus hijos desaparecidos durante la narcoguerra en México.,94100,104,18000,113,Cine y video
483,BELLEZA NACIONAL,Florencia Mayer,Argentina,"¡Hola soy Flora Mayer! Hace 4 años cree mi propia marca de Joyas únicas y exclusivas, ""Cenizas azules"" donde me especialicé aros,collares,pulseras y anillos; tocados de novia y madrinas. Desde entonces he trabajado intensamente en la búsqueda de un estilo propio que embellezca a la mujer y logre que cada una ""sea como quiera ser"" sintiéndose única y especial. Mis Diseños se basan principalmente en formas orgánicas hechas artesanalmente, creando sensaciones de movimientos etéreos a través de las diferentes texturas y colores que brindan mis materiales (piedras semipreciosas, perlas de río, pasamanerias, nácar, cintas de organza y joyas antiguas recicladas). Actualmente estoy vendiendo mis piezas en la Tienda del Museo Thyssen Bornemisza en Madrid y en el Museo Nacional de Arte Decorativo (Bs.As) las cuales fueron diseñadas inspiradas en cuadros de sus propias colecciones. Y, con el objetivo de expandir mis trabajos en Museos de Bs.As y New York principalmente, estoy en la búsqueda de nuevos materiales que sean naturales y autóctonos. He investigado y experimentado con diferentes materiales desde botones (pasta de galalit), hasta globos de cumpleaños, pero llegué a la conclusión de que me parece importante valorar nuestros propios recursos y además crear conciencia ambiental pensando también en el futuro de sustentabilidad de los mismos. Mi proyecto consiste entonces en hacer una Investigación en Jujuy, vistando 8 comunidades en 10 días desde Tilcara hasta llegar a Yavi, para: - Explorar sus recursos naturales como lanas de ovejas, llamas, semillas , cueros etc. - Observar y aprender sus técnicas de hilados ancestrales aborígenes y aplicarlas en mis nuevos diseños hechos con sus materiales naturales. De esta manera, podré crear una nueva colección con mis nuevos materiales y técnicas para representar a nuestro país en mis futuras exposiciones. ¡Me parece una experiencia super apasionante y necesito tu ayuda para lograrlo! ¡Gracias!",62786,104,24800,57,Diseño
484,CON TODO RESPETO (HUMOR CÓMIC),Leonel Arregui,Chile,"Con Todo Respeto, el Cómic online de Humor y Existencialismo ilustrado, quiere volverse real, en papel y a casi todo color.",44971,104,23700,55,Editorial
485,POESÍA LIBRE POESÍA,Editorial Bajo Cuerda,Chile,Dar a conocer y generar un espacio de difusión de las obras de poetas no publicados. Hay un capital cultural a difundir.,7922,104,7500,15,Editorial
486,ANUARIO CHOCHA 2015,Revista Chocha,Argentina,Revista Chocha quiere editar un anuario con las mejores notas de sus primeros doce meses de existencia. ¿Nos ayudás?,15507,104,13800,229,Editorial
487,ALGO VALIOSO,AgustinaSanz,Argentina,"Algo Valioso, con ilustraciones y cortos relatos nos sumerge en historias cotidianas destacando las cosas simples e importantes de la vida.",13317,104,4200,61,Editorial
488,EL LIBRO DE OS,Osjanny Montero,Argentina,"Suramérica y Cuba narradas desde su realidad, sin hoteles ni guías turísticas. Mi libro es un testimonio vivo de mis años en viaje.",22124,104,3300,88,Editorial
489,LIBRO FEMININJAS,Ceci Espinosa,Argentina,"¡Hola somos Ronda Editorial! y junto a la artista plástica Fatima Pecci Carou queremos publicar su primer libro sobre su serie ""Femininjas""",34053,104,5100,126,Editorial
490,"OBRA HÄPE, PRE TEMPORADA.",Häpe,Chile,"Queremos hacer una pre temporada de 6 funciones los días 9,10,16,17,23 y 24 de Junio de 2016 en el Teatro de La Aurora.",44731,104,3900,21,Artes escénicas
491,DVD MARIAS BRASILIANAS DA CIA CIRANDEIRA,Instituto de Arte Tear2,Brasil,"Finalização do DVD Marias Brasilianas: A arte do fio; espetáculo de dança, teatro e música da Cia Cirandeira do Instituto de Artes Tear.",70952,104,3200,90,Artes escénicas
492,GRAVAÇÃO DO PRIMEIRO CD DA BANDA SCALENE,Lucas Furtado,Brasil,"CD da banda Scalene, de Brasília: 13 canções, que vão da música pop/rock tradicional ao rock mais pesado.",42341,104,2900,53,Música
493,COMIC TENENCIA RESPONSABLE,Paula Belén Nicora,Argentina,Historietas y relatos para conocer el mundo Veterinario desde adentro. ¡Por una Tenencia Responsable de Mascotas!,32370,104,5100,94,Editorial
494,SOBRESALTO,Grupo SobreSalto,Brasil,"Espetáculo Rosas de Noel do grupo musical SobreSalto, com estreia marcada para outubro, no Rio de Janeiro.",26973,104,1800,58,Artes escénicas
495,IMPRIMIR THE INDY!,Argentina Independent,Argentina,Queremos lanzar una publicación independiente y gratuita en inglés para dar una cobertura de calidad acerca de los asuntos argentinos.,124132,103,20400,75,Editorial
496,TEPOZTLÁN TIERRA DE MISTICISMO,AleBravo,México,Este proyecto busca recaudar fondos para imprimir la primera edición de un libro que busca difundir las maravillas de Tepoztlán.,112007,103,16500,55,Editorial
497,LIBRONGO 4,Robertita,Argentina,"Cuarta edición de Librongo: libro para colorear, para todo público, DONADO en gran parte a pacientes niños y adultos mayores",40268,103,11200,165,Editorial
498,LUPITA VERDE,Lupita Verde,Argentina,"Lupita Verde es una niña curiosa y alegre, que ama la naturaleza y la comida saludable. Tiene un mundo muy interesante y quiere compartirlo.",15271,103,18900,111,Editorial
499,MULHERES A BORDO - 30 ANOS DA MULHER NA MARINHA,HELENA MARIA PERES,Brasil,"Um livro que descreve como as mulheres pouco a pouco ganharam terreno nesse segmento profissional, antes restrito aos homens.",8331,103,4700,16,Editorial
500,CARD GAME MERCENARY CRUSADE,Alex Dates,Brasil,Impressão da 1º tiragem do jogo de cartas colecionáveis baseado nos personagens do quadrinho mais interessante da web!,16499,103,5300,38,Editorial
501,UN SANTIAGO CON HISTORIA,Jaime Lamarca U.,Chile,Los libros están en imprenta.Todo listo para su lanzamiento y se no acaba el tiempo cuando solo falta tu aporte,35179,103,2100,19,Editorial
502,RAMÓN EL OPTIMISTA,Ramón El Optimista,Argentina,Ramón el Optimista es un cuento infantil ilustrado que narra la historial del búho Ramón y sus amigos quienes nos dejarán una gran enseñanza,13497,103,7100,75,Editorial
503,"""ANIMALES DE PRIMERA"" EL LIBRO",Tristan Comics,Argentina,"Unite al equipo que busca editar el libro de humor sobre un universo que satiriza al fútbol, deporte que despierta nuestro lado más animal.",21994,103,11500,103,Editorial
504,DERROCANDO A ROCA,Derrocando a Roca,Argentina,Colectivo periodístico con una pagina web (derrocandoaroca.com) y un programa de radio en FM La Tribu 88.7. ¡Vamos por la cooperativa!,3366,103,5700,37,Editorial
505,PAULA CECCHI DIBUJOS PINTURAS,Paula Cecchi,Argentina,Será un libro que compile una selección de los dibujos y pinturas que hice en los últimos años,6781,103,7400,34,Editorial
506,CORTOMETRAJE,Nina Nino Producciones,Chile,"""La invitada"" es un proyecto de cortometraje de ficción producido por Niña Niño Producciones y Grita Medios, y dirigido por Roberto Doveris",14729,103,5900,23,Artes escénicas
507,LAMEDERO,Guillermo Ugalde,Chile,"""Lamedero"" es el segundo montaje de la compañía Teatro La Península y está inspirada en ""El licenciado vidriera"" de Miguel de Cervantes.",35465,103,3400,18,Artes escénicas
508,WAKE UP SUSAN,brenda,Argentina,"Wake up Susan es un obra que integra diversas artes: teatro, baile, música y visuales donde el humor se hace presente desde el comienzo.",2364,103,5300,195,Artes escénicas
509,LAS BUENAS MUERTES,Agustina soler,Argentina,El 17 de Marzo vamos a estrenar la obra de Gabriel Calderón. Necesitamos tu aporte para hacerlo posible. Gracias!!,2023,103,3500,13,Artes escénicas
510,EL BOSQUE ENCAPRICHADO,Ana Dolores Castro,Argentina,¡Ayudanos a llegar el 5 de Julio al Auditorio de San Rafael!,4065,103,7600,49,Artes escénicas
511,MENEA PARA MI (DANZA TEATRO),cumbi,Argentina,"Obra de danza de teatro de Cumbi Bustinza que habla de la vida en un barrio bajo. Amor, drogas, cárcel, familia, fé, amigos, muerte, sueños.",2707,103,11300,60,Artes escénicas
512,LAS LÁGRIMAS,Las Lágrimas,Argentina,"Ingrid Pelicori, Violeta Urtizberea, Iride Mockert, Martín Urbaneja y Fabio Aste protagonizan Las lágrimas, de Mariano Tenconi Blanco.",2703,103,7200,23,Artes escénicas
513,DILLINGER ( COMEDIA TEATRAL ),Compania Improvisa2,Argentina,"Somos Mariana ""Cumbi"" Bustinza ; Tomás Cutler y Gaby Gavila . Queremos concebir DILLINGER una comedia teatral y necesitamos tu ayuda!!!",4039,103,5500,57,Artes escénicas
514,PELOTERO VIAJA A COLOMBIA,Vivi Perea,Argentina,La obra del autor Gonzalo Marull interpretada por el Grupo Ross fue invitada al VIII Festival de Arte Femenino y vos podes colaborar,2026,103,2600,15,Artes escénicas
515,LA ESQUINA DE LA MODA,Alejandrinaq,Argentina,"COMEDIA TEATRAL DE AUTORÍA COLECTIVA. AMAMOS LO QUE HACEMOS, GRACIAS GRACIAS Y MAS GRACIAS POR AYUDARNOS A LLEGAR A LA META",5065,103,3300,26,Artes escénicas
516,BALADA MALANDRA,Producciones Independientes Rosario,Argentina,"Balada Malandra es un espectáculo teatral Rosarino, que se estranara en Rosario el 7 y 8 de Septiembre en el Auditorio Fundación.",10098,103,3700,14,Artes escénicas
517,ANIMALES AUTÓCTONOS 3,animalesoutoctonos,Argentina,Es la primera Serie de Biodiversidad y Ecorregiones para niños de la Argentina donde encontrarás la belleza de nuestros paisaje y su fauna.,57625,103,8600,127,Editorial
518,CAROLINA,Diana Rivera Martinic,Chile,"Montaje de una comedia chilena, de la destacada dramaturga nacional Isidora Aguirre. ESTRENO 16 DE JUNIO DEL 2016 - SALA LA VITRINA",47449,103,12600,61,Artes escénicas
519,"PELÍCULA ""LA LÍNEA AMARILLA""",Gonzalo Barceló,Chile,Para la realización de nuestro primer largometraje de ficción.,93381,103,13800,63,Cine y video
520,UN VIDEO PARA YEIMS BONDI,YEIMS BONDI,Argentina,"Ayudanos con nuestro primer videoclip: ""Argentinos sin domesticar"" (Somos de acá) Formá parte o contribuí como te guste ¡GRACIAS! :)",4056,103,10100,33,Cine y video
521,RODRIGO ROJAS DE NEGRI,veronicadenegri,Chile,Exposición de los archivos fotográficos inéditos de Rodrigo Rojas de Negri para ser exhibido en Santiago,70944,103,27900,118,Artes visuales
522,PERDÓN Y GRACIAS CORTOMETRAJE,Sami Marx,Chile,"Pelìcula maulina que hace una nueva propuesta sobre la libertad y la errancia, donde la alegría y la belleza parece imponerse a la amargura.",7379,103,2300,10,Cine y video
523,METAMORFOSIS,Marco,Argentina,"METAMORFOSIS es un documental que cuenta la historia de Pablo Gasparini, un corredor de Trail Running de la Ciudad de Córdoba.",10098,103,2400,20,Cine y video
524,"EDITA, UNA CHECA CHILENA",Pamela Pollak,Chile,Proyecto de documental en etapa de edición que desea postular a los mercados de Work in Progress para lo que necesita 40 minutos de montaje.,178039,103,13500,101,Cine y video
525,"HORACIO QUIROGA, CUENTISTA",Taller El Mate,Argentina,"Largometraje basado en la vida y la obra de Horacio Quiroga que reúne el trabajo colaborativo de chicos y grandes en el Taller ""El Mate"".",18628,103,15700,83,Cine y video
526,EL DÉCIMO CASO,Grulla Films,Argentina,"Tesis de Imagen y Sonido UBA. Un médico intenta encontrar la cura de una enfermedad, ignorando lo que en realidad necesita el paciente.",3732,103,10800,657,Cine y video
527,ETERNA VENGANZA,Oscar Rodríguez Górriz,México,"Eterna Venganza es un cortometraje sobre una joven mujer que busca castigar a todo hombre que humilla, maltrata y abusa de otras mujeres.",33250,103,10800,14,Artes visuales
528,JESUITAS ACÚSTICO 2018,"Cristóbal Fones, SJ",Chile,Cuatro sacerdotes de diversos países registrando composiciones ignacianas para compartir en internet. Una misión de colaboración y música.,103821,103,13500,79,Música
529,"CARRONA, LA PELICULA.",Valeria Videla Mardones,Chile,"Jovenes estudiantes desean realizar cortometraje ficcion de 21 min como su tesis, utilizando como tema el incesto entre madre e hija.",44880,103,11600,26,Cine y video
530,ENTREVISTAS FEMINISMO,Nuria Becu,Argentina,Una plataforma web que promueve la reflexión sobre feminismo.,94119,103,12800,58,Cine y video
531,LA NOCHE DEL CHIHUAHUA,Guillermo Grillo,Argentina,"Largometraje de ficción que combina elementos del cine de terror, el comic y la comedia más disparatada.",74431,103,22100,69,Cine y video
532,"SOFÍA, LA SERIE",Nicolás Teté,Argentina,Sofía es una webserie que habla sobre diferentes crisis que se producen a lo largo de la vida y el miedo al cambio. Sofía es como vos.,28870,103,22400,27,Cine y video
533,NELSON CAVAQUINHO POR SURURU NA RODA,Sururu na Roda,Brasil,Homenagearemos um dos maiores compositores da música brasileira no centenário do seu nascimento: Nelson Cavaquinho.,142207,103,2400,179,Música
534,RODRIGO SANTOS AO VIVO EM IPANEMA,rodrigo santos2,Brasil,"DVD Rodrigo Santos ao Vivo em Ipanema, com Frejat, Leoni, Isabella Taviani, Ney Matogrosso, Léo Jaime e outros.",69152,103,2100,52,Música
535,SAMMY (SADO FRIEND),ChesterG,Argentina,"La idea es producir una figura coleccionable para adultos, fabricada en resina de 10 cm, pintada a mano y con stickers para customizar.",4069,103,11200,43,Juegos
536,"SINCITA, TUITEAR EN FUTURO",fabricio caiazza,Argentina,De internet a las calles. Un libro para las intervenciones de Sincita.,49461,103,16800,41,Artes visuales
537,SILLA ALMA,Ariel Rojo,México,"""Silla Alma"" esta hecha de aluminio 100% reciclado, material que tiene una larga vida útil debido a su alta resistencia a la corrosión.",222765,103,17900,20,Diseño
538,ESPEJO CHINO - NUEVO ÁLBUM,Espejochino,Argentina,Estamos en la parte final de nuestro primer disco. ¡Ayúdanos a terminarlo y te lo enviamos en formato digital junto a otras recompensas!,13464,103,1800,51,Música
539,SAMBA MISTURADO,Sergio Castanheira,Brasil,"Gravação do CD Samba Misturado, de Sergio Castanheira. Um projeto que mescla instrumentos, gêneros musicais e amigos.",29359,103,1900,82,Música
540,PROYECTO BANDA ABRAD´OS ZÓIO,Banda AbradOs Zoio,Brasil,"Zoiud@s, queremos a ajuda de vocês para prensar e fazer um Show de Lançamento do nosso 1º CD. Quem topa nos ajudar? Abraços #AdZ",20847,103,10000,83,Música
541,FESTIVAL DE JAZZ EN CARTAGENA,Algomas Enelequipaje,Argentina,Recientemente fuimos seleccionados para el Cartagena de Indias Voces Del Jazz Festival. Necesitamos apoyo para poder participar del evento.,1520,103,9900,31,Música
542,TRAPECIO,Saiko,Chile,"Para celebrar nuestros 15 años, editaremos nuestro nuevo disco en formato CD y vinilo. Queremos que seas parte de él. Escoge como participar",208127,103,30100,179,Música
543,SE PARTE DE NUESTRO PRIMER CD!,Suena Candombe,Uruguay,"Nuestro disco ya está en su etapa final, ayudanos para que podamos hacer la edición, réplica y difusión del CD...y que llegue a tus manos!",16594,103,8900,23,Música
544,PRIMER DISCO DE ITALO AGUILERA,Italo Aguilera,Chile,"Agrupación de jazz formada por Italo Aguilera, basada en composiciones originales del guitarrista.",29516,103,4100,18,Música
