,Proyecto,Autor(a),País,Descripción,Descripción (limpia),Palabras clave,Recaudación,Porcentaje,Vistas,Colaboradores,Categoría
319,MATASIETE Y SU 4TO DISCO!,MATASIETE,Argentina,"Se viene el disco nuevo y necesitamos que nos ayudes a sacarlo! Esta vez no nos podés fallar, retribuiremos con despampanantes recompensas!!",viene disco nuevo necesitamos ayudes sacarlo vez podés fallar retribuiremos despampanantes recompensas, despampanantes   disco nuevo ,10670,108,6400,68,Música
320,TRIBUTO A MAGOYA... JOYA!,andres manu,Argentina,"Hicimos un disco de rock alterlatino, dibujos y poesía. Ya está grabado, necesitamos dinero para mezclarlo, masterizarlo y fabricarlo.",hicimos disco rock alterlatino dibujos poesía grabado necesitamos dinero mezclarlo masterizarlo fabricarlo, masterizarlo   disco rock ,7108,108,4100,40,Música
321,AYÚDAME A GRABAR MI TERCER EP,TodosMeCaenBien,Chile,"Me hace muy feliz hacer música, y aunque suene cliche, si le gusta a una persona, bakan!!! por eso la quiero compartir en la internet XD",hace feliz hacer música aunque suene cliche si gusta persona bakan quiero compartir internet xd, compartir   persona   feliz ,18590,108,4100,29,Música
322,BOSQUES NATIVOS DEL BIOBÍO,Jens Benöhr,Chile,Bosques de la tierra del Biobío es la primera guía de campo para la identificación de la flora arbórea nativa de la región del Biobío.,bosques tierra biobío primera guía campo identificación flora arbórea nativa región biobío, biobio   tierra   flora ,62049,108,16700,167,Editorial
323,LA YUNGA - PELÍCULA,Gala Negrello,Argentina,"Largometraje fantástico situado en la región de la selva montañosa de Salta y Tucumán, proyecto de tesis de la Universidad de Buenos Aires.",largometraje fantástico situado región selva montañosa salta tucumán proyecto tesis universidad buenos aires, fantastico   universidad buenos ,12386,108,11200,103,Cine y video
324,TAN LARGAS PESTAGNAS 2,Grego,Argentina,"chistes que están gratis en internet pero que ahora los podés comprar, y en forma de libro!",chistes gratis internet ahora podés comprar forma libro, forma   gratis internet ,29771,108,8500,146,Editorial
325,LIBRO DE LA CUEVA DE CHAUVET,alvaro,Argentina,Edición del primer libro en formato papel de la revista digital de análisis cinematográfico La Cueva de Chauvet.,edición primer libro formato papel revista digital análisis cinematográfico cueva chauvet, primer   cinematografico cueva ,2124,108,6700,24,Editorial
326,PURO PELO,Juan Chavetta,Argentina,"Se trata de las cosas que ama una niña, las cosas simples de la vida.",trata cosas ama niña cosas simples vida, cosas ama   simples ,9532,108,25100,90,Editorial
327,TIPOS PARA LA IDEA,Los Ultimos,Argentina,"Queremos conseguir letras de plomo para que el periodico La Idea pueda seguir imprimiendo, como lo hace desde hace 93 años.",queremos conseguir letras plomo periodico idea pueda seguir imprimiendo hace hace años, hace   conseguir letras ,1770,108,12900,21,Artes visuales
328,CINCO,alejandra marin,Argentina,"Cinco es un ensayo que vincula el texto y la imagen, en una suerte de retrato de 5 mujeres que pasaron por la privación de la libertad.",cinco ensayo vincula texto imagen suerte retrato mujeres pasaron privación libertad, privacion   ensayo vincula ,5294,108,3500,29,Artes visuales
329,NI UN BLOG IMPRESO NI UNA REVISTA VIRTUAL,Bigote Falso,Argentina,Bigote Falso es una editorial que ansía publicar su primera revista impresa.,bigote falso editorial ansía publicar primera revista impresa, revista   falso editorial ,2304,108,13900,38,Editorial
330,BRASILIA: LA FALLIDA TIERRA...,Mauricio Waisman,Argentina,"Es un ensayo fotográfico sobre la relación entre la arquitectura de la ciudad de Brasilia y quienes la habitan, que intenta ser publicado.",ensayo fotográfico relación arquitectura ciudad brasilia habitan intenta ser publicado, ser   fotografico   relacion ,14074,108,16200,109,Editorial
331,YO APOYO A B.U.M.,B.U.M,Argentina,En noviembre vamos a exponer el proceso de ensayo de la obra B.U.M. y necesitamos tu aporte y tu presencia para hacer posible ese montaje.,noviembre vamos exponer proceso ensayo obra bum necesitamos aporte presencia hacer posible montaje, vamos   hacer posible ,980,107,3600,17,Artes escénicas
332,SHOW DE ANASTÁCIA MONTEIRO EM SANTA TERESA - ES,Anastácia Santana Monteiro,Brasil,Realização do show da cantora Anastácia Monteiro no 3º Festival Gastronômico de Santa Teresa ?ES em setembro de 2012.,realização show cantora anastácia monteiro 3º festival gastronômico santa teresa setembro, anastacia   teresa   gastronomico ,6066,107,2800,39,Música
333,ZUMBIDOS,NÉLIO TORRES,Brasil,Show musical e pré lançamento do CD Zumbidos do músico Nélio Torres.,show musical pré lançamento cd zumbidos músico nélio torres, pre   musico   nelio ,8695,107,1700,26,Música
334,EL LIBRO MOUSHON!,Revista Moushon,Argentina,"Moushon, la Revista Argentina de Animación, presenta una edición especial de colección: El Libro Moushon! de la Animación Latinoamericana.",moushon revista argentina animación presenta edición especial colección libro moushon animación latinoamericana, animacion   moushon   especial ,9860,107,7300,51,Artes visuales
335,"ISLA, UN CUENTO PARA DIBUJAR",Isla,Argentina,"Un cuento con actividades para que chicos de 4 años en adelante, lean, jueguen, dibujen y pinten. Un libro para despertar la imaginación.",cuento actividades chicos años adelante lean jueguen dibujen pinten libro despertar imaginación, despertar   actividades chicos ,13186,107,22300,156,Artes visuales
336,TIERRA DE PÁJAROS,Eliseo Hernández Zubiri,Argentina,Explora la percepción ante la muerte por un chico de 13 años y su despertar amoroso. Un film con un estilo visual experimental y cautivador.,explora percepción muerte chico años despertar amoroso film estilo visual experimental cautivador, experimental   percepcion muerte ,5275,107,12400,21,Artes visuales
337,HAY ROPA TENDIDA CORTOMETRAJE,domingodelaharpe,Chile,"Hay ropa tendida es nuestro proyecto de título, un corto de ficción feminista ubicado en un Chile distópico ultra machista.",ropa tendida proyecto título corto ficción feminista ubicado chile distópico ultra machista, tendida   distopico ultra ,18447,107,3000,32,Cine y video
338,UN LAPSO EN ARGENTINA,Glickman Producciones,Argentina,Cortometraje donde un científico apasionado descubre lo que no debería.,cortometraje científico apasionado descubre debería, cientifico apasionado descubre ,5686,107,2900,27,Cine y video
339,INFANTILES CUARTO PROSCENIO,los39proscenio,Argentina,Después de 4 años de carrera tenemos como objetivo realizar dos infantiles. Con fecha de estreno el 20 de junio. Ayudamos a conseguirlo!,después años carrera objetivo realizar infantiles fecha estreno junio ayudamos conseguirlo, ayudamos   anos carrera ,21059,107,10100,94,Artes escénicas
340,CONTRA,Compañia Santo Domingo,Chile,"CONTRA, es el segundo montaje de la compañía Santo Domingo que será estrenado en Julio del 2013 en Espacio CEAT. Necesitamos de tu apoyo!",segundo montaje compañía santo domingo estrenado julio espacio ceat necesitamos apoyo, montaje   ceat necesitamos ,46190,107,4700,21,Artes escénicas
341,PASTO PARA EL HIJO DE MADONNA,Gonzalo Venegas,Chile,Reestrenamos nuestra obra El HIJO DE MADONNA y nos falta un elemento fundamental de nuestra escenografía: pasto sintético!,reestrenamos obra hijo madonna falta elemento fundamental escenografía pasto sintético, obra   escenografia pasto ,21594,107,8300,58,Artes escénicas
342,LAS FORMAS DEL SOL,Galope,Argentina,Nos gustan los libros que despiertan la curiosidad e invitan a explorar. Las Formas del Sol es nuestro primer libro álbum.,gustan libros despiertan curiosidad invitan explorar formas sol primer libro álbum, libros   libro   invitan explorar ,15741,107,5100,60,Editorial
343,"LIBRO ""SMILE OR DIE""",bucleeditorial,Argentina,"""SMILE OR DIE"" es el primer libro de Bucle Editorial, un tratado visual sobre ""la sonrisa"" en el siglo XXI.",smile die primer libro bucle editorial tratado visual sonrisa siglo xxi, siglo   die primer ,22860,107,8100,81,Editorial
344,HAY ALGO QUE SIGUE VIVO,ojodepajaro,Uruguay,Soy fotógrafo freelance. Fui a Rusia2018 a cubrir el camino Uruguay. Voy a editar un nuevo libro con las mejores fotografías e historias .,fotógrafo freelance rusia2018 cubrir camino uruguay voy editar nuevo libro mejores fotografías historias, freelance   fotografias   mejores ,115115,107,11900,99,Editorial
345,ANIMALES AUTÓCTONOS 2,animalesoutoctonos,Argentina,"Es una libro de naturaleza autóctona para los niños de este rincón del Planeta. En este título recorremos la costa, el mar y la Antártida.",libro naturaleza autóctona niños rincón planeta título recorremos costa mar antártida, naturaleza   mar   autoctona ,52458,107,20000,219,Editorial
346,MÁS ALLÁ DE LA ESCUELA,constanza,Argentina,¿Es posible aprender sin ir a la escuela?,posible aprender ir escuela, posible aprender ,8778,107,9500,49,Editorial
347,DIBUJOS DE LA VIDA,melcastillo,Argentina,Libro de dibujos hechos a mano para colorear.,libro dibujos hechos mano colorear, dibujos hechos mano ,6994,107,3400,53,Editorial
348,OJO DE PEZ 2007-2017,OJO DE PEZ,Argentina,Cumplimos 10 años y queremos editar un libro de fotos realizadas por cientos de chicos desde el año 2007.,cumplimos años queremos editar libro fotos realizadas cientos chicos año, anos   ano   libro fotos ,17615,107,10500,120,Editorial
349,SERENDIPIA (MI PRIMER LIBRO),Willy Gallego,Argentina,Serendipia es un libro que va a recopilar historias que vengo dibujando desde el 2013 (2013 - 2016),serendipia libro va recopilar historias vengo dibujando, historias vengo   libro ,26340,107,33900,194,Editorial
350,RELATO NACIONAL,Relato Nacional,Chile,Crónicas radiales que cuentan historias reales de personas como tú y yo. Necesitamos tu apoyo para producir 10 programas y ponerlos al aire.,crónicas radiales cuentan historias reales personas necesitamos apoyo producir programas ponerlos aire, radiales   programas ponerlos ,204495,107,9200,88,Editorial
351,VIVIR DUELE,Emilce Strucchi,Argentina,"En Vivir duele se recorre la vida de la escritora Clarice Lispector a través de un novedoso enfoque, distinto a la biografía tradicional.",vivir duele recorre vida escritora clarice lispector través novedoso enfoque distinto biografía tradicional, biografia   duele   distinto ,1748,107,5400,31,Editorial
352,LIBRO - LA GENTE ANDA DICIENDO,La Gente Anda Diciendo,Argentina,"Las mejores frases de la página ""La Gente Anda Diciendo"", editadas especialmente para un libro con diseño.",mejores frases página gente anda diciendo editadas especialmente libro diseño, libro   frases   pagina ,22878,107,152200,1471,Editorial
353,REGALITOS SEMANALES - EL LIBRO,Vero Gatti,Argentina,Unos dibujos para morir de amor te piden que los liberes de la compu. Queremos ser libro! Queremos ser libro!,dibujos morir amor piden liberes compu queremos ser libro queremos ser libro, queremos   morir amor ,56856,107,29200,93,Editorial
354,EL CORTE,Allamanda,Argentina,"Largometraje de ficción, tesis de 14 estudiantes de Diseño de Imagen y Sonido de la UBA.",largometraje ficción tesis estudiantes diseño imagen sonido uba, ficcion   imagen sonido ,7026,107,8900,69,Cine y video
355,LAS MONTAÑAS PROHIBIDAS,Sergio Infante,Chile,¿Es Chile un país de montañas? Y si lo es.. ¿Por qué no son de libre acceso para todos los Chilenos?,chile país montañas si libre acceso chilenos, acceso   pais   montanas ,46190,107,12500,51,Cine y video
356,EN BUSCA DEL MUÑECO PERDIDO,Jueves Sin Televisión,Argentina,"""La Pistola Desnuda"" + ""Cuidado: Hércules Vigila"" + Muñecos Gigantes = La película que todos queremos y nadie hizo. Hasta ahora. ¡Hagámosla!",pistola desnuda cuidado hércules vigila muñecos gigantes película queremos nadie hizo ahora hagámosla, desnuda   hizo ahora ,24605,107,45200,1102,Cine y video
357,LAURIE HANKY,Laura Caracciolo,Argentina,"Situaciones, experiencias, microcosmos plasmados en hermosos pañuelos de seda. Mili escribe y Lauri dibuja. ¡Elegí tu historia!",situaciones experiencias microcosmos plasmados hermosos pañuelos seda mili escribe lauri dibuja elegí historia, elegi   experiencias   dibuja ,10549,107,13000,113,Diseño
358,CINTIA ARÉVALO - PRIMER DISCO,cintiaarevalo,Argentina,Quiero grabar mi primer trabajo discográfico en este género de raíz folclórica. Necesito tu apoyo y tu ayuda para poder llevarlo a cabo!,quiero grabar primer trabajo discográfico género raíz folclórica necesito apoyo ayuda poder llevarlo cabo, grabar   poder llevarlo ,10523,107,12600,48,Música
359,EL HIJO DE DIOS,Rodrigo Cala,Argentina,Un Western Bíblico Futbolero,western bíblico futbolero, western   futbolero ,8796,107,13500,73,Cine y video
360,HORRORES PRIMIGENIOS,Pulpo Mecanico,Argentina,"Horrores Primigenios es una serie web de terror suspenso, inspirada en los relatos de H.P.Lovecraft, ambientada en la actualidad",horrores primigenios serie web terror suspenso inspirada relatos hplovecraft ambientada actualidad, primigenios   hplovecraft ambientada ,1404,107,5100,19,Cine y video
361,AFRICANAS,eliza capai,Brasil,"Fazer o 1º corte do documentário, uma imersão em diversas culturas africanas contada por suas mulheres.",fazer 1º corte documentário imersão diversas culturas africanas contada mulheres, documentario   contada   imersao ,108945,107,6500,181,Cine y video
362,BRIDGES: MÚSICOS DEL MUNDO,igor ledermann,Chile,"Queremos realizar un CD de World Music con la colaboración de músicos de 5 continentes, fusionando sonoridades y ritmos de todo el mundo!",queremos realizar cd world music colaboración músicos continentes fusionando sonoridades ritmos mundo, music   sonoridades ritmos ,143056,107,18500,118,Música
363,SIGUIENDO EL PASO!,La Orquesta Del Revés,Argentina,"Ayudanos a terminar la producción de ""Siguiendo el Paso"", primer disco de La Orquesta del Revés! Sé parte del proyecto!",ayudanos terminar producción siguiendo paso primer disco orquesta revés sé parte proyecto, terminar   orquesta   produccion ,6994,107,9400,50,Música
364,DOCUMENTAL AFRICA - OCEANIA,Manu Pozzi,Argentina,"Ayudame a viajar por Zimbabwe, Zambia, Botswana, Malawi, Mozambique, Australia, Nueva Zelanda y Papua Nueva Guinea filmando un documental.",ayudame viajar zimbabwe zambia botswana malawi mozambique australia nueva zelanda papua nueva guinea filmando documental, nueva   viajar   filmando ,5268,107,15300,79,Música
365,EPPURSE MUOVE - 4TO DISCO!!!,Eppurse Muove,Argentina,"Ya tenemos nuestro cuarto disco de estudio grabado (""El Sonido de las Esferas"") y necesitamos la ayuda de todos ustedes para editarlo.",cuarto disco estudio grabado sonido esferas necesitamos ayuda ustedes editarlo, disco   ayuda ustedes ,8781,107,7100,72,Música
366,PRIMER DISCO DE ZAMBA Y CANUTA,Murga Zamba y Canuta,Chile,"Primer disco de estudio del montaje ""Hecho en Chile"". Voces, percusiones, humor, sátira y reflexión registrados en calidad profesional.",primer disco estudio montaje hecho chile voces percusiones humor sátira reflexión registrados calidad profesional, calidad   disco estudio ,46076,107,5300,78,Música
367,DISCO LUISKO Y LA FRUTA FRESCA,Luisko y la Fruta Fresca,Chile,"Somos Luisko y la Fruta Fresca, una banda que sueña con su primer disco de larga duración. Ayúdanos ¡Sé parte de este carnaval!",luisko fruta fresca banda sueña primer disco larga duración ayúdanos sé parte carnaval, duracion   fruta fresca ,82685,107,16100,142,Música
368,EL DESPERTAR DE DANIEL MENDOZA,DEM Comics,Argentina,Ayúdanos a publicar ésta novela gráfica cuya historia transcurre en Concordia Entre Ríos después de una gran inundación que cambia todo,ayúdanos publicar ésta novela gráfica cuya historia transcurre concordia ríos después gran inundación cambia, inundacion   publicar   esta ,1394,106,7700,15,Editorial
369,PROYECTO YEKA,Luis Abadi,Argentina,Un libro de fotos tomadas en la calles de Buenos Aires. Una comedia a todo color que sorprende al publico con exposiciones de Street Art.,libro fotos tomadas calles buenos aires comedia color sorprende publico exposiciones street art, fotos   exposiciones street ,17402,106,10600,69,Editorial
370,¡PUBLICAMOS MI PRIMER LIBRO!,Sebashuber,Argentina,Edição do livro do Sebastián Huber. Tiragem de 200 exemplares.,edição livro sebastián huber tiragem exemplares, livro   huber tiragem ,3480,106,3000,22,Editorial
371,PROYECTO VENTANAS - EL LIBRO,Leonardo Gauna,Argentina,"Quiero editar un libro de 4 años de dibujos en vidrios, fotos y experiencias increíbles; este Proyecto lleno de viajes y ventanas del mundo.",quiero editar libro años dibujos vidrios fotos experiencias increíbles proyecto lleno viajes ventanas mundo, editar   viajes ventanas ,15657,106,16200,77,Editorial
372,DISFRUTAR DE LA MÚSICA ANTIGUA,Ramiro Albino,Argentina,"Un libro para los que aman la música antigua, pero quieren ir un poco más allá y disfrutarla al máximo",libro aman música antigua quieren ir allá disfrutarla máximo, disfrutarla   aman   antigua ,8626,106,15700,216,Editorial
373,BOMBARDEO DE POEMAS SOBRE LONDRES,Casagrande,Chile,"Publicación de ""Bombardeo de Poemas sobre Londres"", con poemas de 300 autores y fotografías de la intervención realizada en Londres, 2012",publicación bombardeo poemas londres poemas autores fotografías intervención realizada londres, bombardeo poemas   intervencion ,115547,106,20800,117,Editorial
374,"""LA SILLA SENTADA""",Gilda Palmieri,Argentina,"Ayudanos a editar nuestro primer libro inédito ""Paulina y Juana forman una família"" sobre familias homoparentales del grupo La Silla Sentada",ayudanos editar primer libro inédito paulina juana forman família familias homoparentales grupo silla sentada, familia familias   editar   silla ,8672,106,10300,83,Editorial
375,REVISTA POTRERO,matiasbaldo,Argentina,Publicación deportiva de financiación y producción independiente. Donde el fútbol se reencuentra.,publicación deportiva financiación producción independiente fútbol reencuentra, futbol   deportiva   independiente ,14248,106,9100,45,Editorial
376,CUMBRE INTERIOR,Agustin Ortega,Argentina,"Libro sobre la experiencia de cumbre en Aconcagua, los desafíos y el crecimiento consecuente de abrazarlos.",libro experiencia cumbre aconcagua desafíos crecimiento consecuente abrazarlos, experiencia   crecimiento consecuente ,3820,106,6500,36,Editorial
377,LABURANTES!,Laburantes Serie Web,Argentina,"LABURANTES es una serie web sobre un grupo de amigos y sus conflictos para conseguir, mantener, o lograr que les guste su trabajo.",laburantes serie web grupo amigos conflictos conseguir mantener lograr guste trabajo, serie   lograr guste ,2082,106,7500,34,Cine y video
378,REM,Malena Vain,Argentina,"Serie web de suspenso / En un pueblo en las afueras de Buenos Aires, una extraña enfermedad imposibilita a sus víctimas despertar del sueño.",serie web suspenso pueblo afueras buenos aires extraña enfermedad imposibilita víctimas despertar sueño, web   victimas despertar ,12222,106,12400,62,Cine y video
379,TÚ TRAES EL ANIME!,Kakkoii,México,Ayúdanos a transmitir gratuitamente el Anime del famoso juego “Blade & Soul” basado en el trabajo del aclamado artista gráfico Hyung-Tae Kim,ayúdanos transmitir gratuitamente anime famoso juego blade soul basado trabajo aclamado artista gráfico hyungtae kim, hyungtae   transmitir gratuitamente ,71740,106,20500,24,Cine y video
380,YO SE LO QUE ENVENENA,Federico Sosa,Argentina,Es un largometraje sobre la amistad de tres amigos unidos por la pasión metalera. Ayudanos a finalizar nuestra película!,largometraje amistad tres amigos unidos pasión metalera ayudanos finalizar película, finalizar   amistad tres ,10422,106,29100,301,Cine y video
381,LIBRO ECHE ILUS - LA PASION!,Seba Etcheberry,Argentina,"La idea es hacer un libro con mis mejores dibujos y otros + inéditos que guardan el afán de estimular pasiones. Claro, todo, con tu ayuda.",idea hacer libro mejores dibujos inéditos guardan afán estimular pasiones claro ayuda, claro   hacer libro ,12126,106,21100,1195,Editorial
382,BANDA CONEXIÓN SHALOM,Banda Shalom Chile,Chile,Somos una banda que creemos que por por medio de la música muchas personas pueden llegar a tener una real experiencia con Dios,banda creemos medio música muchas personas pueden llegar tener real experiencia dios, experiencia   creemos medio ,24311,106,1800,16,Música
383,DOCUMENTAL SOBRE TELETRABAJO,Juan Martitegui,Argentina,"Desde La Nube es una Película Documental que Muestra la Realidad de los que Trabajan Desde su Casa. Sin Horarios, Sin Jefes. Desde La Nube.",nube película documental muestra realidad trabajan casa horarios jefes nube, muestra realidad   pelicula ,3480,106,29700,77,Cine y video
384,"CORAZÓN NEGRO, LA PELÍCULA.",Juan Manuel Ribelli,Argentina,"Ópera prima de Juan M. Ribelli, a rodarse durante Noviembre en la localidad de Florencio Varela.",ópera prima juan ribelli rodarse noviembre localidad florencio varela, prima   localidad florencio ,6935,106,12000,91,Cine y video
385,VARAS,Mario Cáceres,Chile,"Obra de teatro con estreno el 15 de Mayo en Teatro del Puente, Chile. Narración de una tragedia televisiva",obra teatro estreno mayo teatro puente chile narración tragedia televisiva, teatro   narracion tragedia ,15244,106,5700,17,Artes escénicas
386,EL PARCITO: SEGUNDO DISCO,El Parcito,Chile,Ayudanos a terminar el 2° disco de El Parcito. Solo nos falta el diseño y la fabricación de los discos y obten excelentes recompensas.,ayudanos terminar disco parcito solo falta diseño fabricación discos obten excelentes recompensas, discos   terminar disco   excelentes ,45647,106,10500,50,Artes escénicas
387,UNO MAS,La Sonante Teatro,Argentina,Compañia La Sonante necesita de tu ayuda para poder financiar su proximo espectaculo teatral: Uno Más,compañia sonante necesita ayuda poder financiar proximo espectaculo teatral, espectaculo   sonante necesita ,2784,106,5000,28,Artes escénicas
388,"""VIAJE""",Gabriela Fernandez,Argentina,"Quiero grabar mi segundo disco que se llamara ""Viaje"" para hacerlo rodar y compartirlo con vos y con el mundo. ¿Me ayudás?",quiero grabar segundo disco llamara viaje hacerlo rodar compartirlo mundo ayudás, grabar   compartirlo mundo ,8667,106,4900,41,Música
389,AYUDANOS A GRABAR!!!!,Morada de Pájaros,Argentina,"Estamos en proceso de grabación de nuestro primer disco ""El Principio del Círculo"" y necesitamos TU colaboración para lograrlo!",proceso grabación primer disco principio círculo necesitamos colaboración lograrlo, colaboracion   grabacion primer ,4183,106,4400,25,Música
390,NUEVO DISCO DE PABLO DACAL,Pablo Dacal,Argentina,"Participá de la edición en vinilo de ""El corazón es el lugar"", nuevo disco criollo junto a las Guitarras del tiempo",participá edición vinilo corazón lugar nuevo disco criollo junto guitarras tiempo, edicion   junto guitarras ,8726,106,14300,81,Música
391,2º CD DO CONJUNTO CANTILENA PAULISTANA,Conjunto Cantilena Paulistana,Brasil,"Gravação do segundo CD ""O Figo e a Figueira"" do Conjunto Cantilena Paulistana. Ajude nos a mostrar que o samba ainda é uma música que fala d",gravação segundo cd figo figueira conjunto cantilena paulistana ajude mostrar samba ainda música fala, musica   figueira conjunto ,36457,106,4200,129,Música
392,"GRABACIÓN DE ""SABE EL VIENTO""",Ana Robles,Argentina,"“Sabe el viento” es mi tercer disco solista y contiene 12 temas de mi autoría, en un nuevo intento por compartir sentidos y vivencias.",sabe viento tercer disco solista contiene temas autoría nuevo intento compartir vivencias, compartir   viento tercer ,20850,106,4400,123,Música
393,PRIMER DISCO PÁJARO ALETHEIA,Pájaro Aletheia,Chile,¡Estamos en proceso de grabar nuestro primer disco de música transiente! Un bello trabajo que esperamos pueda realizarse con tu colaboración,proceso grabar primer disco música transiente bello trabajo esperamos pueda realizarse colaboración, realizarse   grabar primer ,18304,106,1800,29,Música
394,QUEREMOS EDITAR NUESTRO ÁLBUM!,Cith,Argentina,"Ya grabamos nuestro segundo álbum, tenemos las canciones, tenemos el arte y estamos listos para lanzarlo. Necesitamos de tu apoyo!",grabamos segundo álbum canciones arte listos lanzarlo necesitamos apoyo, segundo   lanzarlo necesitamos ,9052,106,5400,56,Música
395,COQUIN,coquin,Argentina,Robots de madera reciclada que vienen a traer felicidad al mundo!,robots madera reciclada vienen traer felicidad mundo, madera   traer felicidad ,2773,106,24600,45,Diseño
396,CALENDARIO- MUJERES DE METAL,Metalinas - Calendario 2013,Argentina,"Doce mujeres argentinas. Un calendario de distribución gratuita. Mujeres de metal; filosas, brillantes, tenaces, resistentes.",doce mujeres argentinas calendario distribución gratuita mujeres metal filosas brillantes tenaces resistentes, mujeres   brillantes tenaces ,89605,106,12200,77,Artes visuales
397,FORMAS PENSAMENTO,Vitor Schietti,Brasil,Em que você está pensando?,pensando, ,38681,106,4200,63,Artes visuales
398,PRIMERA CASA,Primera Casa,Argentina,Documental Performático sobre EL CUERPO que ofrece (re)pensarnos en nuestra posibilidad de ser sujetos libres u objetos estandarizados.,documental performático cuerpo ofrece repensarnos posibilidad ser sujetos libres u objetos estandarizados, performatico   ser sujetos ,15673,106,32200,265,Artes visuales
399,CURANTENA/IMPRESION DE OBRAS!,David Medina Kaiser,Argentina,"REALIZAR ESTAS OBRAS EN GRAN TAMAÑO. Soy trabajador independiente y soy asmático, no puedo generar dinero dada la pandemia. ColaborA",realizar obras gran tamaño trabajador independiente asmático puedo generar dinero dada pandemia colabora, obras   dada pandemia ,8709,106,2300,30,Artes visuales
400,OJALA VIVAS TIEMPOS,Santiago van Dam,Argentina,"Un joven escritor decide vivir una vida intensa para inspirarse creativamente, y se le va la mano. Un largometraje de Santiago van Dam.",joven escritor decide vivir vida intensa inspirarse creativamente va mano largometraje santiago van dam, largometraje santiago van ,9739,106,10600,55,Cine y video
401,CD GUIDI VIEIRA,Guidi Vieira,Brasil,"CD da cantora Guidi Vieira, intérprete de novos e incríveis nomes da MPB. Ajude na confecção de seu CD de estreia!",cd cantora guidi vieira intérprete novos incríveis nomes mpb ajude confecção cd estreia, guidi   mpb ajude ,28672,105,3100,52,Música
402,UN PISO PARA CHAKATÁ!,Chakatá Cia. argentina de Tap,Argentina,Somos Chakatá Cia. Argentina de Tap y queremos construir un piso especial para zapatear y llevar nuestro tap a todos lados.,chakatá cia argentina tap queremos construir piso especial zapatear llevar tap lados, cia argentina tap ,6896,105,12100,151,Artes escénicas
403,ÁLBUM DE ESTRÉIA- LÍVIA CRUZ ?MUITO MAIS AMOR?,Lívia Cruz,Brasil,"Lançamento de ""Muito mais Amor"", primeiro álbum de Lívia Cruz",lançamento amor primeiro álbum lívia cruz, livia   amor   album ,21413,105,4600,28,Música
404,PONETE UN DISCO,pablogarber,Argentina,Un libro de fotos cuyos protagonistas son los vinilos más recordados y las anécdotas de muchos de quienes los hicieron. 144pg cosidas a hilo,libro fotos cuyos protagonistas vinilos recordados anécdotas hicieron 144pg cosidas hilo, fotos   anecdotas   recordados ,253642,105,16000,219,Música
405,MASCHEMÁXIMAS,Andrea Di Cione,Argentina,Compilación de las máximas sobre Mascherano que circularon por las redes sociales durante el Mundial de Fútbol de Brasil 2014,compilación máximas mascherano circularon redes sociales mundial fútbol brasil, futbol   maximas mascherano ,2758,105,7600,45,Editorial
406,PRIMER LIBRO DE FULANA WHO,Sol de Angelis,Argentina,"Soy Fulana Who, dibujante e historietista, y quiero publicar mi primer libro, que recopila una selección de mis dibujos.",fulana dibujante historietista quiero publicar primer libro recopila selección dibujos, seleccion   dibujante historietista ,31013,105,28100,218,Editorial
407,DIARIO DE UN DESPERTAR,Valeria Swoboda,Argentina,El proyecto tiene como objetivo publicar y expandir la esencia del libro Diario de un Despertar ayudando a su vez a cientos de niños.,proyecto objetivo publicar expandir esencia libro diario despertar ayudando vez cientos niños, objetivo   vez cientos ,13750,105,7000,93,Editorial
408,AVES DE BUENOS AIRES,Vic | Libros del Tatú,Argentina,Una guía de campo ilustrada para iniciarse en la observación de aves y conocer las aves autóctonas más comunes de Buenos Aires.,guía campo ilustrada iniciarse observación aves conocer aves autóctonas comunes buenos aires, aves   campo   buenos ,32667,105,18300,138,Editorial
409,"CAZADOR DE FARSANTES, EN AUDIO",AudiolibroPerfumoVera,Argentina,"Ayudanos a grabar el audiolibro de este thriller patagónico. De uno de los 35 jóvenes referentes de Argentina según el diario ""La Nación"".",ayudanos grabar audiolibro thriller patagónico jóvenes referentes argentina según diario nación, diario   grabar audiolibro ,6912,105,4000,39,Editorial
410,LA PESADILLA DE DIOS,Inés Lucía Blackie,Argentina,¡Cada vez más cerca de la edición del libro!!! Últimos días para conseguirlo a precio promocional. ¡No te quedes sin tu ejemplar!,cada vez cerca edición libro últimos días conseguirlo precio promocional quedes ejemplar, vez   promocional quedes ,15523,105,3600,59,Editorial
411,UM ESTRANHO QUE ME QUER,keyla santana,Brasil,Realização do espetáculo de comédia romântica com autoria de Sergio Abritta.,realização espetáculo comédia romântica autoria sergio abritta, espetaculo   autoria sergio ,12739,105,2600,26,Artes escénicas
412,EU ME AMO. EU ME APROVO.,Luciana Guerra Malta,Brasil,Peça teatral cômica sobre incoerência e inconsciência humana na busca por bem estar emocional dos dias de hoje. Estreia 24/05/13.,peça teatral cômica incoerência inconsciência humana busca bem emocional dias hoje estreia, hoje   teatral   comica ,21150,105,8400,43,Artes escénicas
413,ANUARIO DE ILUSTRADORES 11,Anuario Ilustradores,Argentina,¡Cumplimos 11 años! Con tu ayuda esperamos publicar esta nueva edición que compila el trabajo de más de 90 ilustradores y artistas.,cumplimos años ayuda esperamos publicar nueva edición compila trabajo ilustradores artistas, ilustradores   anos ayuda ,31095,105,11500,150,Artes visuales
